step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate
10,1,9.902198529243469,19974.2421875,,,,,,,,,,,5.2249999999999996e-05
20,1,9.262219339609146,10532.4833984375,,,,,,,,,,,5.449999999999998e-05
30,1,8.839366155862809,6900.6162109375,,,,,,,,,,,5.675e-05
40,1,8.447019308805466,4661.15966796875,,,,,,,,,,,5.900000000000001e-05
50,1,8.06281989812851,3174.227294921875,,,,,,,,,,,6.125000000000001e-05
60,1,7.754599219560623,2332.274169921875,,,,,,,,,,,6.350000000000001e-05
70,1,7.503836119174958,1814.99169921875,,,,,,,,,,,6.575000000000001e-05
80,1,7.3536691725254055,1561.9169921875,,,,,,,,,,,6.800000000000003e-05
90,1,7.2847786039114,1457.9383544921875,,,,,,,,,,,7.025000000000004e-05
100,1,7.234414863586426,1386.3297119140625,,,,,,,,,,,7.250000000000001e-05
100,1,,,7.200398527423272,1339.9646706666822,7.45904966542665,1735.4979696827938,7.462335055193457,1741.209133515221,7.488968215685411,1788.206096671207,7.4463860601123235,1713.6588810253054,7.250000000000001e-05
110,1,7.193387150764465,1330.6024169921875,,,,,,,,,,,7.475000000000004e-05
120,1,7.170552265644074,1300.5626220703125,,,,,,,,,,,7.700000000000001e-05
130,1,7.145843052864075,1268.820556640625,,,,,,,,,,,7.925000000000003e-05
140,1,7.11872738301754,1234.877685546875,,,,,,,,,,,8.150000000000006e-05
150,1,7.105578142404556,1218.7462158203125,,,,,,,,,,,8.37500000000001e-05
160,1,7.0746069252491,1181.5789794921875,,,,,,,,,,,8.60000000000001e-05
170,1,7.046602550148964,1148.9488525390625,,,,,,,,,,,8.825000000000011e-05
180,1,7.027283269166946,1126.9647216796875,,,,,,,,,,,9.050000000000011e-05
190,1,7.012702256441116,1110.6519775390625,,,,,,,,,,,9.275000000000013e-05
200,1,6.9916968762874605,1087.5653076171875,,,,,,,,,,,9.50000000000001e-05
200,1,,,6.946845417180016,1039.8642109119012,7.549095930556457,1899.025104460118,7.388381567085083,1617.086847372554,8.31774417347148,4095.909916647367,7.390788642513846,1620.9839858605176,9.50000000000001e-05
210,1,6.975050157308578,1069.610595703125,,,,,,,,,,,9.725000000000009e-05
220,1,6.966134995222092,1060.117431640625,,,,,,,,,,,9.950000000000009e-05
230,1,6.942553773522377,1035.4112548828125,,,,,,,,,,,0.00010175000000000007
240,1,6.926840353012085,1019.268310546875,,,,,,,,,,,0.00010400000000000005
250,1,6.8853877782821655,977.8809204101562,,,,,,,,,,,0.00010625000000000002
260,1,6.872156956791878,965.0279541015625,,,,,,,,,,,0.00010850000000000006
270,1,6.869197914004326,962.1764526367188,,,,,,,,,,,0.00011075000000000004
280,1,6.88247520327568,975.0369873046875,,,,,,,,,,,0.00011300000000000001
290,1,6.849643692374229,943.544677734375,,,,,,,,,,,0.00011525000000000004
300,1,6.815477240085602,911.8516845703125,,,,,,,,,,,0.00011750000000000004
300,1,,,6.779258468102966,879.4163669789968,7.385499341651566,1612.4327488353244,7.284462284450036,1457.4772139516208,7.869168705567826,2615.3905246725353,7.288392315271896,1463.2164145553454,0.00011750000000000004
310,1,6.809696096181869,906.5953369140625,,,,,,,,,,,0.00011975000000000002
320,1,6.815816995501518,912.1613159179688,,,,,,,,,,,0.00012200000000000002
330,1,6.797466611862182,895.57568359375,,,,,,,,,,,0.00012425000000000007
340,1,6.781705090403557,881.5704345703125,,,,,,,,,,,0.00012650000000000007
350,1,6.7846763789653775,884.1940307617188,,,,,,,,,,,0.00012875000000000007
360,1,6.763635131716728,865.7837524414062,,,,,,,,,,,0.00013100000000000004
370,1,6.741188442707061,846.5662841796875,,,,,,,,,,,0.00013325000000000004
380,1,6.73233371078968,839.1031494140625,,,,,,,,,,,0.00013550000000000004
390,1,6.727970030903816,835.44970703125,,,,,,,,,,,0.00013775000000000007
400,1,6.721597698330879,830.1427612304688,,,,,,,,,,,0.00014000000000000001
400,1,,,6.655883269886146,777.3442246921632,7.333232164229672,1530.320032726313,7.286685893775227,1460.721679751181,7.918387237934729,2747.336670532358,7.220688790113078,1367.4306090902753,0.00014000000000000001
410,1,6.722190085053444,830.634521484375,,,,,,,,,,,0.00014225000000000002
420,1,6.6987220287323,811.3681640625,,,,,,,,,,,0.00014450000000000007
430,1,6.6916670352220535,805.6642456054688,,,,,,,,,,,0.0001467500000000001
440,1,6.677949249744415,794.6878662109375,,,,,,,,,,,0.00014900000000000015
450,1,6.682472142577171,798.2902221679688,,,,,,,,,,,0.0001512500000000001
460,1,6.67238982617855,790.2821044921875,,,,,,,,,,,0.00015350000000000015
470,1,6.650301361083985,773.017333984375,,,,,,,,,,,0.00015575000000000018
480,1,6.64519405066967,769.0792846679688,,,,,,,,,,,0.0001580000000000002
490,1,6.647509357333183,770.8621826171875,,,,,,,,,,,0.00016025000000000024
500,1,6.6350623846054075,761.326416015625,,,,,,,,,,,0.0001625000000000003
500,1,,,6.5918602024646615,729.1359496373279,7.229756692722902,1379.8867267579844,7.19392004937342,1331.3117979470724,7.595517448996527,1989.2589252653456,7.1473913998913154,1270.786653487945,0.0001625000000000003
510,2,6.600428656355976,735.4102783203125,,,,,,,,,,,0.0001647500000000003
520,2,6.6099292784929276,742.4303588867188,,,,,,,,,,,0.0001670000000000003
530,2,6.616910791397094,747.6320190429688,,,,,,,,,,,0.00016925000000000027
