step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.91097840666771,20150.376953125,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,512,expectation
20,1,9.226143336296081,10159.2802734375,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,512,expectation
30,1,8.798245137929916,6622.61376953125,,,,,,,,,,,5.675e-05,fair,random_scramble,512,expectation
40,1,8.419003504514695,4532.384765625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,512,expectation
50,1,8.082882744073867,3238.55615234375,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,512,expectation
60,1,7.827922385931015,2509.709716796875,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,512,expectation
70,1,7.643410080671311,2086.848388671875,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,512,expectation
80,1,7.565486940741539,1930.408447265625,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,512,expectation
90,1,7.520888087153435,1846.2056884765625,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,512,expectation
100,1,7.502099072933197,1811.841552734375,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,512,expectation
