step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.93225667476654,20583.740234375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,1024,upper_bound
20,1,9.239594036340714,10296.8623046875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,1024,upper_bound
30,1,8.811730861663818,6712.53076171875,,,,,,,,,,,5.675e-05,fair,random_scramble,1024,upper_bound
40,1,8.431751888990402,4590.53662109375,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,1024,upper_bound
50,1,8.094683903455735,3277.0,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,1024,upper_bound
60,1,7.837317949533462,2533.40087890625,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,1024,upper_bound
70,1,7.6508943945169445,2102.524658203125,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,1024,upper_bound
80,1,7.5713572889566425,1941.77392578125,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,1024,upper_bound
90,1,7.5270719796419145,1857.658203125,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,1024,upper_bound
100,1,7.509927675127983,1826.08154296875,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,1024,upper_bound
