step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.51746626496315,13595.125,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,0,expectation
20,1,8.735419565439225,6219.34130859375,,,,,,,,,,,5.449999999999998e-05,fair,temporal,0,expectation
30,1,8.184438925981521,3584.73095703125,,,,,,,,,,,5.675e-05,fair,temporal,0,expectation
40,1,7.663873732089996,2129.992431640625,,,,,,,,,,,5.900000000000001e-05,fair,temporal,0,expectation
50,1,7.351460638642311,1558.470947265625,,,,,,,,,,,6.125000000000001e-05,fair,temporal,0,expectation
60,1,7.215425479412079,1360.2523193359375,,,,,,,,,,,6.350000000000001e-05,fair,temporal,0,expectation
70,1,7.121876227855682,1238.7724609375,,,,,,,,,,,6.575000000000001e-05,fair,temporal,0,expectation
80,1,7.0501675575971605,1153.0518798828125,,,,,,,,,,,6.800000000000003e-05,fair,temporal,0,expectation
90,1,6.962012115120888,1055.755859375,,,,,,,,,,,7.025000000000004e-05,fair,temporal,0,expectation
100,1,6.880871680378914,973.474609375,,,,,,,,,,,7.250000000000001e-05,fair,temporal,0,expectation
100,1,,,6.728250026702881,835.6835616881951,6.713340261763781,823.3161429795854,6.808699720457931,905.6923876932552,6.716106428699975,825.5967256543349,6.731879881464401,838.7224837298381,7.250000000000001e-05,fair,temporal,0,expectation
110,1,6.810369518399239,907.2059326171875,,,,,,,,,,,7.475000000000004e-05,fair,temporal,0,expectation
120,1,6.733442109823227,840.033935546875,,,,,,,,,,,7.700000000000001e-05,fair,temporal,0,expectation
130,1,6.649187785387039,772.15673828125,,,,,,,,,,,7.925000000000003e-05,fair,temporal,0,expectation
140,1,6.594752362370491,731.2477416992188,,,,,,,,,,,8.150000000000006e-05,fair,temporal,0,expectation
150,1,6.502587613463402,666.8651123046875,,,,,,,,,,,8.37500000000001e-05,fair,temporal,0,expectation
