step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.849192208051681,18943.0546875,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,512,expectation
20,1,9.186080288887023,9760.3154296875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,512,expectation
30,1,8.76638349890709,6414.9287109375,,,,,,,,,,,5.675e-05,fair,random_scramble,512,expectation
40,1,8.392533695697784,4413.9853515625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,512,expectation
50,1,8.061022505164146,3168.529052734375,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,512,expectation
60,1,7.812461867928505,2471.206787109375,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,512,expectation
70,1,7.637562724947929,2074.68115234375,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,512,expectation
80,1,7.5597250908613205,1919.318115234375,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,512,expectation
90,1,7.512975412607193,1831.655029296875,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,512,expectation
100,1,7.495622816681862,1800.145263671875,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,512,expectation
