step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate
10,1,9.940348315238953,20750.9765625,,,,,,,,,,,5.2249999999999996e-05
20,1,9.19013216495514,9799.9462890625,,,,,,,,,,,5.449999999999998e-05
30,1,8.599458223581314,5428.72021484375,,,,,,,,,,,5.675e-05
40,1,7.987152606248856,2942.9052734375,,,,,,,,,,,5.900000000000001e-05
50,1,7.587914305925369,1974.1920166015625,,,,,,,,,,,6.125000000000001e-05
60,1,7.290608602762222,1466.462646484375,,,,,,,,,,,6.350000000000001e-05
70,1,7.0999520242214205,1211.9091796875,,,,,,,,,,,6.575000000000001e-05
80,1,6.959532713890075,1053.141357421875,,,,,,,,,,,6.800000000000003e-05
90,1,6.854928895831108,948.5447387695312,,,,,,,,,,,7.025000000000004e-05
100,1,6.7704131454229355,871.6717529296875,,,,,,,,,,,7.250000000000001e-05
100,1,,,6.6649544971563115,784.4277704746578,6.657091407205483,778.2839307926904,6.660207728561505,780.7130966921584,6.657700178731199,778.7578721350393,6.665128212816129,784.5640496989602,7.250000000000001e-05
110,1,6.681201958656311,797.2767944335938,,,,,,,,,,,7.475000000000004e-05
120,1,6.582257148623467,722.1676025390625,,,,,,,,,,,7.700000000000001e-05
130,1,6.50722399353981,669.9640502929688,,,,,,,,,,,7.925000000000003e-05
140,1,6.4626033186912535,640.7267456054688,,,,,,,,,,,8.150000000000006e-05
150,1,6.377585703134537,588.5052490234375,,,,,,,,,,,8.37500000000001e-05
160,1,6.295929741859436,542.3599853515625,,,,,,,,,,,8.60000000000001e-05
170,1,6.239876833558083,512.7952880859375,,,,,,,,,,,8.825000000000011e-05
180,1,6.169788292050361,478.08489990234375,,,,,,,,,,,9.050000000000011e-05
190,1,6.110031318664551,450.35272216796875,,,,,,,,,,,9.275000000000013e-05
200,1,6.055652150511742,426.5169677734375,,,,,,,,,,,9.50000000000001e-05
200,1,,,5.958463509815313,387.015022387559,5.945192885937732,381.91301984455424,5.943464537011119,381.2535109815373,5.946465589099902,382.39939119010825,5.952800911227625,384.8297047958791,9.50000000000001e-05
210,1,6.034933716058731,417.77105712890625,,,,,,,,,,,9.725000000000009e-05
220,1,5.97667125761509,394.126220703125,,,,,,,,,,,9.950000000000009e-05
230,1,5.9279979974031445,375.4022216796875,,,,,,,,,,,0.00010175000000000007
240,1,5.887374612689018,360.4576110839844,,,,,,,,,,,0.00010400000000000005
250,1,5.840879037976265,344.0816345214844,,,,,,,,,,,0.00010625000000000002
260,1,5.8055504113435745,332.13800048828125,,,,,,,,,,,0.00010850000000000006
270,1,5.761356875300407,317.7792053222656,,,,,,,,,,,0.00011075000000000004
280,1,5.729283159971237,307.7486267089844,,,,,,,,,,,0.00011300000000000001
290,1,5.688825711607933,295.54632568359375,,,,,,,,,,,0.00011525000000000004
300,1,5.6512953579425815,284.659912109375,,,,,,,,,,,0.00011750000000000004
300,1,,,5.552724915147994,257.939462301867,5.536089039275057,253.6839089966435,5.534195535164093,253.20401195896346,5.538955327076033,254.41208317014738,5.547011768537755,256.47001790968613,0.00011750000000000004
310,1,5.614410829544068,274.3517150878906,,,,,,,,,,,0.00011975000000000002
320,1,5.596455630660057,269.4696044921875,,,,,,,,,,,0.00012200000000000002
330,1,5.544425243139267,255.8074493408203,,,,,,,,,,,0.00012425000000000007
340,1,5.540242737531662,254.73980712890625,,,,,,,,,,,0.00012650000000000007
350,1,5.496856659650803,243.9239959716797,,,,,,,,,,,0.00012875000000000007
360,1,5.463886472582817,236.01284790039062,,,,,,,,,,,0.00013100000000000004
370,1,5.457417443394661,234.49105834960938,,,,,,,,,,,0.00013325000000000004
380,1,5.41065447628498,223.77801513671875,,,,,,,,,,,0.00013550000000000004
390,1,5.373566445708275,215.6305694580078,,,,,,,,,,,0.00013775000000000007
400,1,5.3610227227211,212.94265747070312,,,,,,,,,,,0.00014000000000000001
400,1,,,5.241941066077544,189.03667920108649,5.22308461461199,185.5055154727089,5.223144283577835,185.5165847252178,5.225663048087588,185.98444628398963,5.241901962486626,189.0292873326397,0.00014000000000000001
410,1,5.333597055077552,207.18190002441406,,,,,,,,,,,0.00014225000000000002
420,1,5.321145236492157,204.6180419921875,,,,,,,,,,,0.00014450000000000007
430,1,5.279265010356903,196.2255859375,,,,,,,,,,,0.0001467500000000001
440,1,5.25655183494091,191.81890869140625,,,,,,,,,,,0.00014900000000000015
450,1,5.258402946591377,192.17431640625,,,,,,,,,,,0.0001512500000000001
460,1,5.233224853873253,187.3961639404297,,,,,,,,,,,0.00015350000000000015
470,1,5.178583565354347,177.4313201904297,,,,,,,,,,,0.00015575000000000018
480,1,5.171084570884704,176.10569763183594,,,,,,,,,,,0.0001580000000000002
490,1,5.155513095855713,173.38478088378906,,,,,,,,,,,0.00016025000000000024
500,1,5.15035962164402,172.49351501464844,,,,,,,,,,,0.0001625000000000003
500,1,,,4.99844605208843,148.18271188180114,4.976249668693766,144.92982629560643,4.975501407759035,144.82142153089524,4.979308559034599,145.37382947367252,4.996132548638493,147.84028692003682,0.0001625000000000003
510,1,5.119664826989174,167.27926635742188,,,,,,,,,,,0.0001647500000000003
520,1,5.07827216386795,160.4965362548828,,,,,,,,,,,0.0001670000000000003
530,1,5.055694043636322,156.9134063720703,,,,,,,,,,,0.00016925000000000027
540,1,5.050183406472206,156.0510711669922,,,,,,,,,,,0.00017150000000000027
550,1,5.025074544548988,152.1815948486328,,,,,,,,,,,0.00017375000000000027
560,1,4.9976129829883575,148.05931091308594,,,,,,,,,,,0.00017600000000000027
570,1,4.988874727487564,146.7711944580078,,,,,,,,,,,0.00017825000000000024
580,1,4.976912173628807,145.02584838867188,,,,,,,,,,,0.0001805000000000003
590,1,4.971570071578026,144.25318908691406,,,,,,,,,,,0.00018275000000000032
600,1,4.926693132519722,137.92263793945312,,,,,,,,,,,0.00018500000000000043
600,1,,,4.796947525532045,121.14007558886917,4.778755785575051,118.95625084709859,4.769127239826901,117.81637163973467,4.78246154807854,119.39789226473647,4.792756609494924,120.63345005739932,0.00018500000000000043
610,1,4.91252589225769,135.98248291015625,,,,,,,,,,,0.0001872500000000004
620,1,4.8912687540054325,133.1223602294922,,,,,,,,,,,0.00018950000000000043
630,1,4.87261588871479,130.66226196289062,,,,,,,,,,,0.00019175000000000046
640,1,4.854444575309754,128.3094024658203,,,,,,,,,,,0.00019400000000000046
650,1,4.841326913237571,126.63725280761719,,,,,,,,,,,0.00019625000000000054
660,1,4.83482518196106,125.81656646728516,,,,,,,,,,,0.00019850000000000054
670,1,4.802142238616943,121.77098846435547,,,,,,,,,,,0.00020075000000000062
680,1,4.790707325935363,120.38646697998047,,,,,,,,,,,0.0002030000000000006
690,1,4.776339372992515,118.6691665649414,,,,,,,,,,,0.00020525000000000063
700,1,4.76893715262413,117.79397583007812,,,,,,,,,,,0.00020750000000000063
700,1,,,4.624673778436889,101.9695030056263,4.596622350592095,99.1488593479079,4.595164252202825,99.00439590234816,4.600521385137113,99.53619880986635,4.623250149819359,101.82443958575038,0.00020750000000000063
710,1,4.732599979639053,113.59053802490234,,,,,,,,,,,0.0002097500000000006
720,1,4.737199053168297,114.11409759521484,,,,,,,,,,,0.00021200000000000065
730,1,4.707385191321373,110.76214599609375,,,,,,,,,,,0.0002142500000000007
740,1,4.705230766534806,110.5237808227539,,,,,,,,,,,0.00021650000000000074
750,1,4.700842535495758,110.03982543945312,,,,,,,,,,,0.00021875000000000082
760,1,4.670371034741402,106.73734283447266,,,,,,,,,,,0.00022100000000000076
770,1,4.670507708191872,106.75194549560547,,,,,,,,,,,0.00022325000000000074
780,1,4.649946191906929,104.57936096191406,,,,,,,,,,,0.00022550000000000074
790,1,4.627270999550819,102.23470306396484,,,,,,,,,,,0.0002277500000000007
800,1,4.601333886384964,99.61712646484375,,,,,,,,,,,0.00023000000000000068
800,1,,,4.47655815229024,87.93150439838726,4.451376638374279,85.74490251366409,4.435919444124315,84.42971761951684,4.457258740937949,86.25074908678678,4.470648281601187,87.41337313034087,0.00023000000000000068
810,1,4.5855246633291245,98.05461120605469,,,,,,,,,,,0.00023225000000000074
820,1,4.582891142368316,97.79671478271484,,,,,,,,,,,0.0002345000000000007
830,1,4.577280962467194,97.2496109008789,,,,,,,,,,,0.0002367500000000007
840,1,4.552448692917824,94.86442565917969,,,,,,,,,,,0.0002390000000000006
850,1,4.55695159137249,95.29254150390625,,,,,,,,,,,0.0002412500000000006
860,1,4.528767308592796,92.64427185058594,,,,,,,,,,,0.0002435000000000006
870,1,4.518480440974235,91.6961441040039,,,,,,,,,,,0.00024575000000000063
880,1,4.510394018888474,90.95765686035156,,,,,,,,,,,0.0002480000000000006
890,1,4.475463964045048,87.83533477783203,,,,,,,,,,,0.00025025000000000063
900,1,4.45789789557457,86.30587768554688,,,,,,,,,,,0.00025250000000000045
900,1,,,4.337071392260886,76.48322167449041,4.304217577427373,74.01128469286398,4.292140630976433,73.12283007885604,4.309260633106518,74.3854704492202,4.330653024177024,75.99389622081182,0.00025250000000000045
910,1,4.4415865733923505,84.9095458984375,,,,,,,,,,,0.0002547500000000004
920,2,4.424937938153744,83.50760650634766,,,,,,,,,,,0.0002570000000000005
930,2,4.417717941105366,82.90686798095703,,,,,,,,,,,0.00025925000000000053
940,2,4.431968140602112,84.09677124023438,,,,,,,,,,,0.00026150000000000066
950,2,4.3737150728702545,79.33782196044922,,,,,,,,,,,0.00026375000000000064
960,2,4.385532167553902,80.28095245361328,,,,,,,,,,,0.0002660000000000007
970,2,4.367885287106037,78.87664031982422,,,,,,,,,,,0.0002682500000000007
980,2,4.365885102748871,78.71905517578125,,,,,,,,,,,0.00027050000000000067
990,2,4.360920307040215,78.3292007446289,,,,,,,,,,,0.00027275000000000064
1000,2,4.343940111994743,77.01038360595703,,,,,,,,,,,0.0002750000000000006
1000,2,,,4.222500831320327,68.20383748127588,4.1884915810523005,65.92327600553608,4.177460681461868,65.20007905695574,4.19433789224455,66.3098127981011,4.220231993797683,68.04926946677043,0.0002750000000000006
1010,2,4.319452451169491,75.1474609375,,,,,,,,,,,0.0002772500000000007
1020,2,4.318778991699219,75.09687805175781,,,,,,,,,,,0.0002795000000000007
1030,2,4.309874883294105,74.43118286132812,,,,,,,,,,,0.0002817500000000007
1040,2,4.295532990992069,73.37132263183594,,,,,,,,,,,0.0002840000000000007
1050,2,4.280734455585479,72.29352569580078,,,,,,,,,,,0.00028625000000000064
1060,2,4.274366956949234,71.83464050292969,,,,,,,,,,,0.0002885000000000005
1070,2,4.270812126994133,71.5797348022461,,,,,,,,,,,0.0002907500000000004
1080,2,4.241035994887352,69.47978973388672,,,,,,,,,,,0.0002930000000000004
1090,2,4.238177184760571,69.28145599365234,,,,,,,,,,,0.00029525000000000026
1100,2,4.20068034529686,66.7317123413086,,,,,,,,,,,0.0002975000000000003
1100,2,,,4.086416966387904,59.52622468083978,4.0446739814277235,57.09256976160323,4.041382400485003,56.90495389280786,4.05480955060997,57.67417793813866,4.0860027852493594,59.50157514636673,0.0002975000000000003
1110,2,4.204076565802097,66.95874786376953,,,,,,,,,,,0.00029975000000000027
1120,2,4.199915565550327,66.6806869506836,,,,,,,,,,,0.00030200000000000035
1130,2,4.169961605966091,64.71295928955078,,,,,,,,,,,0.0003042500000000003
1140,2,4.1738305747509,64.96382141113281,,,,,,,,,,,0.00030650000000000024
1150,2,4.138512718677521,62.70948028564453,,,,,,,,,,,0.00030875000000000027
1160,2,4.146122343838215,63.188507080078125,,,,,,,,,,,0.00031100000000000024
1170,2,4.131667974591255,62.2817268371582,,,,,,,,,,,0.0003132500000000004
1180,2,4.106444489955902,60.73039627075195,,,,,,,,,,,0.0003155000000000002
1190,2,4.078019577264786,59.0284538269043,,,,,,,,,,,0.0003177500000000002
1200,2,4.0998582422733305,60.33173751831055,,,,,,,,,,,0.00032000000000000013
1200,2,,,3.9710247121911695,53.03885256168306,3.9258652287859497,50.696923525516745,3.9113333118437033,49.96552720997541,3.938498979197464,51.34147880605195,3.9609643069371163,52.50793530997147,0.00032000000000000013
1210,2,4.0945318847894665,60.01124954223633,,,,,,,,,,,0.00032225000000000016
1220,2,4.0531304135918615,57.57742691040039,,,,,,,,,,,0.00032450000000000024
1230,2,4.077362215518951,58.989654541015625,,,,,,,,,,,0.0003267500000000003
1240,2,4.028889267146587,56.19845199584961,,,,,,,,,,,0.00032900000000000035
1250,2,4.021092277765274,55.76198959350586,,,,,,,,,,,0.00033125000000000027
1260,2,4.0206754639744755,55.73875427246094,,,,,,,,,,,0.0003335000000000002
1270,2,4.014833727478981,55.414093017578125,,,,,,,,,,,0.00033575000000000017
