step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.893156749010085,19794.453125,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,0,expectation
20,1,9.189798325300217,9796.67578125,,,,,,,,,,,5.449999999999998e-05,fair,temporal,0,expectation
30,1,8.71791398525238,6111.4150390625,,,,,,,,,,,5.675e-05,fair,temporal,0,expectation
40,1,8.154190877079964,3477.924560546875,,,,,,,,,,,5.900000000000001e-05,fair,temporal,0,expectation
50,1,7.717168164253235,2246.5888671875,,,,,,,,,,,6.125000000000001e-05,fair,temporal,0,expectation
60,1,7.439807903766632,1702.423095703125,,,,,,,,,,,6.350000000000001e-05,fair,temporal,0,expectation
70,1,7.2395129084587095,1393.4151611328125,,,,,,,,,,,6.575000000000001e-05,fair,temporal,0,expectation
80,1,7.122440630197525,1239.4720458984375,,,,,,,,,,,6.800000000000003e-05,fair,temporal,0,expectation
90,1,7.015187668800354,1113.4156494140625,,,,,,,,,,,7.025000000000004e-05,fair,temporal,0,expectation
100,1,6.922553360462189,1014.9083251953125,,,,,,,,,,,7.250000000000001e-05,fair,temporal,0,expectation
100,1,,,6.849184131622314,943.1111381451221,6.835467772942641,930.2634010137498,6.839844253125291,934.343602300431,6.837550741752256,932.2031301591078,6.828323301017691,923.6408457622624,7.250000000000001e-05,fair,temporal,0,expectation
110,1,6.859886375069618,953.258544921875,,,,,,,,,,,7.475000000000004e-05,fair,temporal,0,expectation
120,1,6.781154522299767,881.08544921875,,,,,,,,,,,7.700000000000001e-05,fair,temporal,0,expectation
130,1,6.6994361817836765,811.9479370117188,,,,,,,,,,,7.925000000000003e-05,fair,temporal,0,expectation
140,1,6.637760707736016,763.3836059570312,,,,,,,,,,,8.150000000000006e-05,fair,temporal,0,expectation
150,1,6.5539968580007555,702.044677734375,,,,,,,,,,,8.37500000000001e-05,fair,temporal,0,expectation
160,1,6.480068612098694,652.0157470703125,,,,,,,,,,,8.60000000000001e-05,fair,temporal,0,expectation
170,1,6.419024938344956,613.4047241210938,,,,,,,,,,,8.825000000000011e-05,fair,temporal,0,expectation
180,1,6.35495887696743,575.3387451171875,,,,,,,,,,,9.050000000000011e-05,fair,temporal,0,expectation
190,1,6.307085999846459,548.4444580078125,,,,,,,,,,,9.275000000000013e-05,fair,temporal,0,expectation
200,1,6.226068788766861,505.7633972167969,,,,,,,,,,,9.50000000000001e-05,fair,temporal,0,expectation
200,1,,,6.150429677963257,468.9188275887511,6.137473666228008,462.88269628393755,6.120547833775598,455.113953012381,6.138631341015275,463.4188742108388,6.11060012222147,450.60905454800246,9.50000000000001e-05,fair,temporal,0,expectation
210,1,6.200890019536018,493.18780517578125,,,,,,,,,,,9.725000000000009e-05,fair,temporal,0,expectation
220,1,6.139433661103249,463.7909240722656,,,,,,,,,,,9.950000000000009e-05,fair,temporal,0,expectation
230,1,6.102510729432106,446.97869873046875,,,,,,,,,,,0.00010175000000000007,fair,temporal,0,expectation
240,1,6.045872196555138,422.3659973144531,,,,,,,,,,,0.00010400000000000005,fair,temporal,0,expectation
250,1,6.008603015542031,406.91448974609375,,,,,,,,,,,0.00010625000000000002,fair,temporal,0,expectation
260,1,5.966433471441269,390.11187744140625,,,,,,,,,,,0.00010850000000000006,fair,temporal,0,expectation
270,1,5.932325226068497,377.03021240234375,,,,,,,,,,,0.00011075000000000004,fair,temporal,0,expectation
280,1,5.888172429800034,360.7454528808594,,,,,,,,,,,0.00011300000000000001,fair,temporal,0,expectation
290,1,5.856521978974342,349.5064697265625,,,,,,,,,,,0.00011525000000000004,fair,temporal,0,expectation
300,1,5.827010670304299,339.3427429199219,,,,,,,,,,,0.00011750000000000004,fair,temporal,0,expectation
300,1,,,5.739554071426392,310.9257293956427,5.723999629295399,306.12687166103314,5.699994389327329,298.86572412460544,5.7253387063198,306.53707370619776,5.6964629862987906,297.8121701580285,0.00011750000000000004,fair,temporal,0,expectation
