step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.871567511558533,19371.685546875,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,102,expectation
20,1,9.166865396499634,9574.564453125,,,,,,,,,,,5.449999999999998e-05,fair,temporal,102,expectation
30,1,8.620440477132798,5543.82763671875,,,,,,,,,,,5.675e-05,fair,temporal,102,expectation
40,1,8.073291099071502,3207.640380859375,,,,,,,,,,,5.900000000000001e-05,fair,temporal,102,expectation
50,1,7.6923716336488726,2191.56640625,,,,,,,,,,,6.125000000000001e-05,fair,temporal,102,expectation
60,1,7.4247685134410855,1677.01123046875,,,,,,,,,,,6.350000000000001e-05,fair,temporal,102,expectation
70,1,7.225786292552948,1374.4188232421875,,,,,,,,,,,6.575000000000001e-05,fair,temporal,102,expectation
80,1,7.107950359582901,1221.640869140625,,,,,,,,,,,6.800000000000003e-05,fair,temporal,102,expectation
90,1,7.001412442326545,1098.18310546875,,,,,,,,,,,7.025000000000004e-05,fair,temporal,102,expectation
100,1,6.91158704161644,1003.8392944335938,,,,,,,,,,,7.250000000000001e-05,fair,temporal,102,expectation
