step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.535876709222794,13847.7255859375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,0,expectation
20,1,8.747531366348266,6295.1259765625,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,0,expectation
30,1,8.25589677989483,3850.262451171875,,,,,,,,,,,5.675e-05,fair,random_scramble,0,expectation
40,1,7.880349949002266,2644.79833984375,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,0,expectation
50,1,7.626889631152153,2052.65576171875,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,0,expectation
60,1,7.528022515773773,1859.4244384765625,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,0,expectation
70,1,7.489928820729256,1789.924560546875,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,0,expectation
80,1,7.483019867539406,1777.6007080078125,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,0,expectation
90,1,7.459824553132057,1736.8433837890625,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,0,expectation
100,1,7.446116933226586,1713.19775390625,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,0,expectation
100,1,,,7.477751398086548,1768.2601889872515,7.471661950345921,1757.5251792872525,7.4232665468929095,1674.4943982352797,7.472992555764661,1759.865308363329,7.425775991077661,1678.7017252836235,7.250000000000001e-05,fair,random_scramble,0,expectation
110,1,7.444803673028946,1710.949462890625,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble,0,expectation
120,1,7.437502586841584,1698.502685546875,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble,0,expectation
130,1,7.41448395550251,1659.8525390625,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble,0,expectation
140,1,7.410842862725258,1653.8197021484375,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble,0,expectation
150,1,7.389443057775497,1618.8040771484375,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble,0,expectation
160,1,7.374311238527298,1594.4935302734375,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble,0,expectation
170,1,7.357190397381783,1567.4268798828125,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble,0,expectation
180,1,7.347146916389465,1551.7630615234375,,,,,,,,,,,9.050000000000011e-05,fair,random_scramble,0,expectation
190,1,7.344639924168587,1547.8773193359375,,,,,,,,,,,9.275000000000013e-05,fair,random_scramble,0,expectation
200,1,7.30854742527008,1493.0069580078125,,,,,,,,,,,9.50000000000001e-05,fair,random_scramble,0,expectation
200,1,,,7.346162939071656,1550.2367482741852,7.341335249388403,1542.7707226460193,7.291087708094595,1467.1656775938213,7.341894937637505,1543.6344349728165,7.292245496201269,1468.8653282936816,9.50000000000001e-05,fair,random_scramble,0,expectation
210,1,7.314911812543869,1502.539306640625,,,,,,,,,,,9.725000000000009e-05,fair,random_scramble,0,expectation
220,1,7.295518243312836,1473.6806640625,,,,,,,,,,,9.950000000000009e-05,fair,random_scramble,0,expectation
230,1,7.29111776649952,1467.2095947265625,,,,,,,,,,,0.00010175000000000007,fair,random_scramble,0,expectation
240,1,7.278203785419464,1448.38427734375,,,,,,,,,,,0.00010400000000000005,fair,random_scramble,0,expectation
250,1,7.2642520606517795,1428.317138671875,,,,,,,,,,,0.00010625000000000002,fair,random_scramble,0,expectation
260,1,7.252557823061943,1411.7110595703125,,,,,,,,,,,0.00010850000000000006,fair,random_scramble,0,expectation
270,1,7.245343753695488,1401.5634765625,,,,,,,,,,,0.00011075000000000004,fair,random_scramble,0,expectation
280,1,7.230970513820648,1381.5625,,,,,,,,,,,0.00011300000000000001,fair,random_scramble,0,expectation
290,1,7.218915644288063,1365.0078125,,,,,,,,,,,0.00011525000000000004,fair,random_scramble,0,expectation
