step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.519727659225463,13625.900390625,,,,,,,,,,,5.2249999999999996e-05,fair,temporal
20,1,8.717230820655823,6107.24365234375,,,,,,,,,,,5.449999999999998e-05,fair,temporal
30,1,8.109532803297043,3326.022216796875,,,,,,,,,,,5.675e-05,fair,temporal
40,1,7.576519078016281,1951.8228759765625,,,,,,,,,,,5.900000000000001e-05,fair,temporal
50,1,7.270348340272903,1437.05126953125,,,,,,,,,,,6.125000000000001e-05,fair,temporal
60,1,7.128223544359207,1246.66015625,,,,,,,,,,,6.350000000000001e-05,fair,temporal
70,1,7.017845550179482,1116.37890625,,,,,,,,,,,6.575000000000001e-05,fair,temporal
80,1,6.935476163029671,1028.10888671875,,,,,,,,,,,6.800000000000003e-05,fair,temporal
90,1,6.831133508682251,926.239990234375,,,,,,,,,,,7.025000000000004e-05,fair,temporal
100,1,6.734332504868507,840.7821044921875,,,,,,,,,,,7.250000000000001e-05,fair,temporal
100,1,,,6.644643259048462,768.6557877178958,6.628877851651733,756.632640014023,6.638748201434214,764.1378474068255,6.630582367603352,757.9234321938528,6.620126322415745,750.0398379720467,7.250000000000001e-05,fair,temporal
110,1,6.658878415822983,779.6759033203125,,,,,,,,,,,7.475000000000004e-05,fair,temporal
120,1,6.582036080956459,722.0078735351562,,,,,,,,,,,7.700000000000001e-05,fair,temporal
130,1,6.49787250161171,663.7279663085938,,,,,,,,,,,7.925000000000003e-05,fair,temporal
140,1,6.433130401372909,622.1182861328125,,,,,,,,,,,8.150000000000006e-05,fair,temporal
150,1,6.344626972079277,569.4249267578125,,,,,,,,,,,8.37500000000001e-05,fair,temporal
160,1,6.276766142249107,532.0653686523438,,,,,,,,,,,8.60000000000001e-05,fair,temporal
170,1,6.214109498262405,499.750732421875,,,,,,,,,,,8.825000000000011e-05,fair,temporal
180,1,6.152494129538536,469.8878173828125,,,,,,,,,,,9.050000000000011e-05,fair,temporal
190,1,6.112889030575753,451.64154052734375,,,,,,,,,,,9.275000000000013e-05,fair,temporal
