step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.513464975357056,13540.8310546875,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,102,expectation
20,1,8.704124730825423,6027.72216796875,,,,,,,,,,,5.449999999999998e-05,fair,temporal,102,expectation
30,1,8.053809058666229,3145.7548828125,,,,,,,,,,,5.675e-05,fair,temporal,102,expectation
40,1,7.558412939310074,1916.8011474609375,,,,,,,,,,,5.900000000000001e-05,fair,temporal,102,expectation
50,1,7.261098319292069,1423.819580078125,,,,,,,,,,,6.125000000000001e-05,fair,temporal,102,expectation
60,1,7.117524129152298,1233.3929443359375,,,,,,,,,,,6.350000000000001e-05,fair,temporal,102,expectation
70,1,7.007367885112762,1104.7430419921875,,,,,,,,,,,6.575000000000001e-05,fair,temporal,102,expectation
80,1,6.9247204750776294,1017.1097412109375,,,,,,,,,,,6.800000000000003e-05,fair,temporal,102,expectation
90,1,6.821100205183029,916.9933471679688,,,,,,,,,,,7.025000000000004e-05,fair,temporal,102,expectation
100,1,6.727301222085953,834.8909301757812,,,,,,,,,,,7.250000000000001e-05,fair,temporal,102,expectation
