step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.833492326736451,18647.96484375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,0,expectation
20,1,9.168302392959594,9588.3349609375,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,0,expectation
30,1,8.74413886666298,6273.8076171875,,,,,,,,,,,5.675e-05,fair,random_scramble,0,expectation
40,1,8.363581746816635,4288.025390625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,0,expectation
50,1,8.030071613192558,3071.96044921875,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,0,expectation
60,1,7.778377678990364,2388.396484375,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,0,expectation
70,1,7.603520190715789,2005.24267578125,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,0,expectation
80,1,7.528224158287048,1859.799560546875,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,0,expectation
90,1,7.484904423356056,1780.9537353515625,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,0,expectation
100,1,7.46683494746685,1749.0621337890625,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,0,expectation
100,1,,,7.495251846313477,1799.4779001062143,7.489636869683793,1789.4021876686281,7.443513697593122,1708.7436939636789,7.4910189432881396,1791.8769829804714,7.444813089480423,1710.965464819998,7.250000000000001e-05,fair,random_scramble,0,expectation
110,1,7.466891971230507,1749.161376953125,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble,0,expectation
120,1,7.460377287864685,1737.803466796875,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble,0,expectation
130,1,7.440921986103058,1704.320556640625,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble,0,expectation
140,1,7.439575031399727,1702.027099609375,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble,0,expectation
150,1,7.421298173069954,1671.201416015625,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble,0,expectation
160,1,7.409225550293923,1651.14697265625,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble,0,expectation
170,1,7.394610610604286,1627.19091796875,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble,0,expectation
180,1,7.384082877635956,1610.1502685546875,,,,,,,,,,,9.050000000000011e-05,fair,random_scramble,0,expectation
190,1,7.38405496776104,1610.105712890625,,,,,,,,,,,9.275000000000013e-05,fair,random_scramble,0,expectation
200,1,7.347605749964714,1552.4749755859375,,,,,,,,,,,9.50000000000001e-05,fair,random_scramble,0,expectation
200,1,,,7.38184003829956,1606.543150757676,7.37719394092778,1599.096307622211,7.332712128309751,1529.5244182323086,7.377987181338899,1600.3652786677044,7.329535344907526,1524.6731602250163,9.50000000000001e-05,fair,random_scramble,0,expectation
210,1,7.352997133135796,1560.867919921875,,,,,,,,,,,9.725000000000009e-05,fair,random_scramble,0,expectation
220,1,7.336891111731529,1535.9296875,,,,,,,,,,,9.950000000000009e-05,fair,random_scramble,0,expectation
230,1,7.331504327058792,1527.67822265625,,,,,,,,,,,0.00010175000000000007,fair,random_scramble,0,expectation
240,1,7.318106406927109,1507.3465576171875,,,,,,,,,,,0.00010400000000000005,fair,random_scramble,0,expectation
250,1,7.305414125323296,1488.3363037109375,,,,,,,,,,,0.00010625000000000002,fair,random_scramble,0,expectation
260,1,7.294562971591949,1472.2730712890625,,,,,,,,,,,0.00010850000000000006,fair,random_scramble,0,expectation
270,1,7.288362500071526,1463.1728515625,,,,,,,,,,,0.00011075000000000004,fair,random_scramble,0,expectation
280,1,7.27490274310112,1443.61083984375,,,,,,,,,,,0.00011300000000000001,fair,random_scramble,0,expectation
