step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.83763982653618,18725.46875,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,204,upper_bound
20,1,9.173609340190888,9639.357421875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,204,upper_bound
30,1,8.748916685581207,6303.85498046875,,,,,,,,,,,5.675e-05,fair,random_scramble,204,upper_bound
40,1,8.369233572483063,4312.32763671875,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,204,upper_bound
50,1,8.03681297302246,3092.740234375,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,204,upper_bound
60,1,7.788486409187317,2412.6630859375,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,204,upper_bound
70,1,7.613739138841629,2025.838623046875,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,204,upper_bound
80,1,7.536560082435608,1875.3677978515625,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,204,upper_bound
90,1,7.4924795717000965,1794.49658203125,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,204,upper_bound
100,1,7.475190669298172,1763.7379150390625,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,204,upper_bound
