step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.815345621109008,18312.62109375,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,102,expectation
20,1,9.130577951669693,9233.357421875,,,,,,,,,,,5.449999999999998e-05,fair,temporal,102,expectation
30,1,8.571333855390549,5278.16552734375,,,,,,,,,,,5.675e-05,fair,temporal,102,expectation
40,1,8.010781815648079,3013.273193359375,,,,,,,,,,,5.900000000000001e-05,fair,temporal,102,expectation
50,1,7.6400797963142395,2079.91015625,,,,,,,,,,,6.125000000000001e-05,fair,temporal,102,expectation
60,1,7.384807825088501,1611.3177490234375,,,,,,,,,,,6.350000000000001e-05,fair,temporal,102,expectation
70,1,7.195043390989303,1332.808349609375,,,,,,,,,,,6.575000000000001e-05,fair,temporal,102,expectation
80,1,7.077188915014267,1184.6337890625,,,,,,,,,,,6.800000000000003e-05,fair,temporal,102,expectation
90,1,6.963947856426239,1057.80126953125,,,,,,,,,,,7.025000000000004e-05,fair,temporal,102,expectation
100,1,6.865390112996101,958.5198974609375,,,,,,,,,,,7.250000000000001e-05,fair,temporal,102,expectation
