step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.87032772898674,19347.68359375,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,409,upper_bound
20,1,9.135818594694138,9281.87109375,,,,,,,,,,,5.449999999999998e-05,fair,temporal,409,upper_bound
30,1,8.53167382478714,5072.927734375,,,,,,,,,,,5.675e-05,fair,temporal,409,upper_bound
40,1,8.061315804719925,3169.45703125,,,,,,,,,,,5.900000000000001e-05,fair,temporal,409,upper_bound
50,1,7.701775303483009,2212.271484375,,,,,,,,,,,6.125000000000001e-05,fair,temporal,409,upper_bound
60,1,7.438247862458229,1699.76904296875,,,,,,,,,,,6.350000000000001e-05,fair,temporal,409,upper_bound
70,1,7.244210886955261,1399.9764404296875,,,,,,,,,,,6.575000000000001e-05,fair,temporal,409,upper_bound
80,1,7.117464777827263,1233.3194580078125,,,,,,,,,,,6.800000000000003e-05,fair,temporal,409,upper_bound
90,1,7.014201962947846,1112.31884765625,,,,,,,,,,,7.025000000000004e-05,fair,temporal,409,upper_bound
100,1,6.918707928061485,1011.0127563476562,,,,,,,,,,,7.250000000000001e-05,fair,temporal,409,upper_bound
