step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.543208891153336,13949.6416015625,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,409,upper_bound
20,1,8.763648825883866,6397.4130859375,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,409,upper_bound
30,1,8.278034859895707,3936.452392578125,,,,,,,,,,,5.675e-05,fair,random_scramble,409,upper_bound
40,1,7.902377793192864,2703.703125,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,409,upper_bound
50,1,7.644265589118004,2088.63427734375,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,409,upper_bound
60,1,7.55145633816719,1903.5130615234375,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,409,upper_bound
70,1,7.5113964706659315,1828.7655029296875,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,409,upper_bound
80,1,7.501087552309036,1810.010009765625,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,409,upper_bound
90,1,7.4815416753292086,1774.9749755859375,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,409,upper_bound
100,1,7.464454048871994,1744.90283203125,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,409,upper_bound
