step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.508880805969238,13478.8974609375,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,409,upper_bound
20,1,8.661137861013412,5774.099609375,,,,,,,,,,,5.449999999999998e-05,fair,temporal,409,upper_bound
30,1,7.990527525544167,2952.8544921875,,,,,,,,,,,5.675e-05,fair,temporal,409,upper_bound
40,1,7.55882551074028,1917.5919189453125,,,,,,,,,,,5.900000000000001e-05,fair,temporal,409,upper_bound
50,1,7.271065890789032,1438.082275390625,,,,,,,,,,,6.125000000000001e-05,fair,temporal,409,upper_bound
60,1,7.121156522631646,1237.8814697265625,,,,,,,,,,,6.350000000000001e-05,fair,temporal,409,upper_bound
70,1,7.0156427204608915,1113.9222412109375,,,,,,,,,,,6.575000000000001e-05,fair,temporal,409,upper_bound
80,1,6.927552926540375,1019.9946899414062,,,,,,,,,,,6.800000000000003e-05,fair,temporal,409,upper_bound
90,1,6.831824663281441,926.880615234375,,,,,,,,,,,7.025000000000004e-05,fair,temporal,409,upper_bound
100,1,6.738408917188645,844.216552734375,,,,,,,,,,,7.250000000000001e-05,fair,temporal,409,upper_bound
