step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.818455559015273,18369.66015625,,,,,,,,,,,5.2249999999999996e-05,fair,temporal
20,1,9.14815201163292,9397.0615234375,,,,,,,,,,,5.449999999999998e-05,fair,temporal
30,1,8.688802725076675,5936.07080078125,,,,,,,,,,,5.675e-05,fair,temporal
40,1,8.134577804803849,3410.375732421875,,,,,,,,,,,5.900000000000001e-05,fair,temporal
50,1,7.699583661556244,2207.428466796875,,,,,,,,,,,6.125000000000001e-05,fair,temporal
60,1,7.432418486475944,1689.889404296875,,,,,,,,,,,6.350000000000001e-05,fair,temporal
70,1,7.249940365552902,1408.0208740234375,,,,,,,,,,,6.575000000000001e-05,fair,temporal
80,1,7.130666255950928,1249.7093505859375,,,,,,,,,,,6.800000000000003e-05,fair,temporal
90,1,7.0296398341655735,1129.62353515625,,,,,,,,,,,7.025000000000004e-05,fair,temporal
100,1,6.931470745801926,1023.9990234375,,,,,,,,,,,7.250000000000001e-05,fair,temporal
100,1,,,6.8350059509277346,929.833884083321,6.820514013474593,916.4559597457243,6.852175914397073,945.9369467979719,6.8230379399110115,918.7719486336865,6.821985005321633,917.8050509985324,7.250000000000001e-05,fair,temporal
110,1,6.873433256149292,966.2601318359375,,,,,,,,,,,7.475000000000004e-05,fair,temporal
120,1,6.794345811009407,892.7850341796875,,,,,,,,,,,7.700000000000001e-05,fair,temporal
130,1,6.714693942666054,824.4314575195312,,,,,,,,,,,7.925000000000003e-05,fair,temporal
140,1,6.655169031023979,776.7891845703125,,,,,,,,,,,8.150000000000006e-05,fair,temporal
150,1,6.573316648602486,715.7396850585938,,,,,,,,,,,8.37500000000001e-05,fair,temporal
160,1,6.50220499932766,666.6098022460938,,,,,,,,,,,8.60000000000001e-05,fair,temporal
170,1,6.430612951517105,620.5542602539062,,,,,,,,,,,8.825000000000011e-05,fair,temporal
180,1,6.37694154381752,588.1262817382812,,,,,,,,,,,9.050000000000011e-05,fair,temporal
190,1,6.338017976284027,565.6740112304688,,,,,,,,,,,9.275000000000013e-05,fair,temporal
200,1,6.250959542393685,518.5100708007812,,,,,,,,,,,9.50000000000001e-05,fair,temporal
