step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.812072348594665,18252.78125,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,409,upper_bound
20,1,9.090656155347824,8872.0068359375,,,,,,,,,,,5.449999999999998e-05,fair,temporal,409,upper_bound
30,1,8.457720088958741,4711.30322265625,,,,,,,,,,,5.675e-05,fair,temporal,409,upper_bound
40,1,7.995227390527726,2966.7646484375,,,,,,,,,,,5.900000000000001e-05,fair,temporal,409,upper_bound
50,1,7.649426615238189,2099.441162109375,,,,,,,,,,,6.125000000000001e-05,fair,temporal,409,upper_bound
60,1,7.400122341513634,1636.184326171875,,,,,,,,,,,6.350000000000001e-05,fair,temporal,409,upper_bound
70,1,7.216305547952652,1361.4501953125,,,,,,,,,,,6.575000000000001e-05,fair,temporal,409,upper_bound
80,1,7.086347675323486,1195.533203125,,,,,,,,,,,6.800000000000003e-05,fair,temporal,409,upper_bound
90,1,6.978141438961029,1072.9222412109375,,,,,,,,,,,7.025000000000004e-05,fair,temporal,409,upper_bound
100,1,6.879235088825226,971.8828735351562,,,,,,,,,,,7.250000000000001e-05,fair,temporal,409,upper_bound
