step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.94633966088295,20875.669921875,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble
20,1,9.209794515371323,9994.5380859375,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble
30,1,8.785271656513213,6537.24853515625,,,,,,,,,,,5.675e-05,fair,random_scramble
40,1,8.385647988319397,4383.697265625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble
50,1,8.041146448254585,3106.171630859375,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble
60,1,7.784367436170578,2402.74609375,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble
70,1,7.614956378936768,2028.3062744140625,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble
80,1,7.5315227717161175,1865.9447021484375,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble
90,1,7.501568216085434,1810.8802490234375,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble
100,1,7.48963163793087,1789.392822265625,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble
100,1,,,7.512875652313232,1831.4726560819474,7.506931135782241,1820.6177322042959,7.471314614196254,1756.9148332622915,7.508637443303101,1823.726917792381,7.472061691928172,1758.2278756223811,7.250000000000001e-05,fair,random_scramble
110,1,7.4847277909517285,1780.6395263671875,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble
120,1,7.484317976236343,1779.909423828125,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble
130,1,7.46569906771183,1747.07666015625,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble
140,1,7.460402300953865,1737.847412109375,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble
150,1,7.4488869398832325,1717.9498291015625,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble
160,1,7.436076176166535,1696.08203125,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble
170,1,7.420821166038513,1670.4046630859375,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble
180,1,7.42890502512455,1683.962646484375,,,,,,,,,,,9.050000000000011e-05,fair,random_scramble
190,1,7.409629610180855,1651.8148193359375,,,,,,,,,,,9.275000000000013e-05,fair,random_scramble
200,1,7.391403397917747,1621.98046875,,,,,,,,,,,9.50000000000001e-05,fair,random_scramble
200,1,,,7.428842687606812,1683.8576958957901,7.424545626865281,1676.63758084269,7.366222797781514,1581.6482805400497,7.427315068730618,1681.2873668361572,7.37186664626368,1590.600101385873,9.50000000000001e-05,fair,random_scramble
210,1,7.381411519646645,1605.8548583984375,,,,,,,,,,,9.725000000000009e-05,fair,random_scramble
220,1,7.373124772310257,1592.602294921875,,,,,,,,,,,9.950000000000009e-05,fair,random_scramble
230,1,7.372435972094536,1591.506103515625,,,,,,,,,,,0.00010175000000000007,fair,random_scramble
240,1,7.354626810550689,1563.4132080078125,,,,,,,,,,,0.00010400000000000005,fair,random_scramble
250,1,7.3449847340583805,1548.4110107421875,,,,,,,,,,,0.00010625000000000002,fair,random_scramble
