step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.891962033510207,19770.8125,,,,,,,,,,,5.2249999999999996e-05,fair,temporal
20,1,9.191488081216812,9813.2451171875,,,,,,,,,,,5.449999999999998e-05,fair,temporal
30,1,8.738095331192017,6236.00634765625,,,,,,,,,,,5.675e-05,fair,temporal
40,1,8.22030903995037,3715.6513671875,,,,,,,,,,,5.900000000000001e-05,fair,temporal
50,1,7.7718105018138885,2372.763427734375,,,,,,,,,,,6.125000000000001e-05,fair,temporal
60,1,7.48996020257473,1789.9808349609375,,,,,,,,,,,6.350000000000001e-05,fair,temporal
70,1,7.286051422357559,1459.794921875,,,,,,,,,,,6.575000000000001e-05,fair,temporal
80,1,7.1784839034080505,1310.9193115234375,,,,,,,,,,,6.800000000000003e-05,fair,temporal
90,1,7.0838993102312084,1192.6099853515625,,,,,,,,,,,7.025000000000004e-05,fair,temporal
100,1,6.98786843419075,1083.4095458984375,,,,,,,,,,,7.250000000000001e-05,fair,temporal
100,1,,,6.876038551330566,968.7809720748869,6.866259765822761,959.3536397986995,6.895735757712513,988.0524246358822,6.868766434332772,961.7614378725922,6.858719944157133,952.1474851393303,7.250000000000001e-05,fair,temporal
110,1,6.935858109593392,1028.5015869140625,,,,,,,,,,,7.475000000000004e-05,fair,temporal
120,1,6.855707693099975,949.2836303710938,,,,,,,,,,,7.700000000000001e-05,fair,temporal
130,1,6.780239328742027,880.2791748046875,,,,,,,,,,,7.925000000000003e-05,fair,temporal
140,1,6.7215319812297825,830.088134765625,,,,,,,,,,,8.150000000000006e-05,fair,temporal
150,1,6.654904752969742,776.5840454101562,,,,,,,,,,,8.37500000000001e-05,fair,temporal
160,1,6.571474850177765,714.4228515625,,,,,,,,,,,8.60000000000001e-05,fair,temporal
170,1,6.504500138759613,668.1414794921875,,,,,,,,,,,8.825000000000011e-05,fair,temporal
180,1,6.452363607287407,634.199462890625,,,,,,,,,,,9.050000000000011e-05,fair,temporal
190,1,6.401943126320839,603.0156860351562,,,,,,,,,,,9.275000000000013e-05,fair,temporal
200,1,6.313777983188629,552.1268920898438,,,,,,,,,,,9.50000000000001e-05,fair,temporal
200,1,,,6.182580232620239,484.23979712130614,6.166829745867139,476.67253508020787,6.215659365494937,500.5259099238311,6.169183878878107,477.79600751338137,6.172023241586189,479.15457149441124,9.50000000000001e-05,fair,temporal
210,1,6.2898011058568954,539.046142578125,,,,,,,,,,,9.725000000000009e-05,fair,temporal
220,1,6.230499371886253,508.0090637207031,,,,,,,,,,,9.950000000000009e-05,fair,temporal
230,1,6.190503704547882,488.09185791015625,,,,,,,,,,,0.00010175000000000007,fair,temporal
240,1,6.132949960231781,460.7934265136719,,,,,,,,,,,0.00010400000000000005,fair,temporal
250,1,6.0961444735527035,444.14215087890625,,,,,,,,,,,0.00010625000000000002,fair,temporal
