step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.922639214992524,20386.71875,,,,,,,,,,,5.2249999999999996e-05,fair,temporal
20,1,9.182213759422302,9722.65234375,,,,,,,,,,,5.449999999999998e-05,fair,temporal
30,1,8.73542160987854,6219.35302734375,,,,,,,,,,,5.675e-05,fair,temporal
40,1,8.21592347919941,3699.390380859375,,,,,,,,,,,5.900000000000001e-05,fair,temporal
50,1,7.781495866179466,2395.8564453125,,,,,,,,,,,6.125000000000001e-05,fair,temporal
60,1,7.483665668964386,1778.748779296875,,,,,,,,,,,6.350000000000001e-05,fair,temporal
70,1,7.297870111465454,1477.1505126953125,,,,,,,,,,,6.575000000000001e-05,fair,temporal
80,1,7.176354333758354,1308.130615234375,,,,,,,,,,,6.800000000000003e-05,fair,temporal
90,1,7.09977248609066,1211.6912841796875,,,,,,,,,,,7.025000000000004e-05,fair,temporal
100,1,7.037691724300385,1138.755859375,,,,,,,,,,,7.250000000000001e-05,fair,temporal
100,1,,,6.932842493057251,1025.4045463339037,6.919487111335398,1011.8009202098159,6.956987522128618,1050.4642855437794,6.920224436213461,1012.5472212993033,6.92107371357477,1013.4075199960032,7.250000000000001e-05,fair,temporal
110,1,6.977924546599388,1072.6895751953125,,,,,,,,,,,7.475000000000004e-05,fair,temporal
120,1,6.93681862950325,1029.48974609375,,,,,,,,,,,7.700000000000001e-05,fair,temporal
130,1,6.8633639246225355,956.579345703125,,,,,,,,,,,7.925000000000003e-05,fair,temporal
140,1,6.805351552367211,902.6652221679688,,,,,,,,,,,8.150000000000006e-05,fair,temporal
150,1,6.7415969431400296,846.912353515625,,,,,,,,,,,8.37500000000001e-05,fair,temporal
160,1,6.6895740777254105,803.9798583984375,,,,,,,,,,,8.60000000000001e-05,fair,temporal
