step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.905644375085831,20043.18359375,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,0,expectation
20,1,9.217829900979996,10075.1748046875,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,0,expectation
30,1,8.785457068681717,6538.4580078125,,,,,,,,,,,5.675e-05,fair,random_scramble,0,expectation
40,1,8.403418093919754,4462.29541015625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,0,expectation
50,1,8.06301570534706,3174.850830078125,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,0,expectation
60,1,7.806618356704712,2456.807861328125,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,0,expectation
70,1,7.627479216456413,2053.865966796875,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,0,expectation
80,1,7.545335608720779,1891.8978271484375,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,0,expectation
90,1,7.500819411873818,1809.524169921875,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,0,expectation
100,1,7.48341817855835,1778.30859375,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,0,expectation
100,1,,,7.5023698806762695,1812.3323405346116,7.491964282757278,1793.5717159390913,7.454976824830308,1728.4439378217055,7.492817913980364,1795.1034184181794,7.456554659141007,1731.1732886363604,7.250000000000001e-05,fair,random_scramble,0,expectation
110,1,7.480817821621895,1773.690673828125,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble,0,expectation
120,1,7.480849716067314,1773.747314453125,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble,0,expectation
130,1,7.459912490844727,1736.9957275390625,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble,0,expectation
140,1,7.458039879798889,1733.7462158203125,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble,0,expectation
150,1,7.44699057340622,1714.6949462890625,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble,0,expectation
160,1,7.429657307267189,1685.230224609375,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble,0,expectation
170,1,7.413476514816284,1658.180908203125,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble,0,expectation
180,1,7.404169547557831,1642.8199462890625,,,,,,,,,,,9.050000000000011e-05,fair,random_scramble,0,expectation
190,1,7.4052529573440555,1644.6007080078125,,,,,,,,,,,9.275000000000013e-05,fair,random_scramble,0,expectation
200,1,7.367007145285607,1582.8895263671875,,,,,,,,,,,9.50000000000001e-05,fair,random_scramble,0,expectation
200,1,,,7.39994797706604,1635.8993234997288,7.4034142542503165,1641.5796430941991,7.3467025453583625,1551.0734915050887,7.407086856205315,1647.6195960833827,7.3480456532615035,1553.1581502172944,9.50000000000001e-05,fair,random_scramble,0,expectation
210,1,7.376990655064583,1598.771484375,,,,,,,,,,,9.725000000000009e-05,fair,random_scramble,0,expectation
220,1,7.358671489357948,1569.75,,,,,,,,,,,9.950000000000009e-05,fair,random_scramble,0,expectation
230,1,7.356584206223488,1566.4764404296875,,,,,,,,,,,0.00010175000000000007,fair,random_scramble,0,expectation
240,1,7.34664378464222,1550.9825439453125,,,,,,,,,,,0.00010400000000000005,fair,random_scramble,0,expectation
250,1,7.3290411829948425,1523.919677734375,,,,,,,,,,,0.00010625000000000002,fair,random_scramble,0,expectation
260,1,7.32027490735054,1510.6190185546875,,,,,,,,,,,0.00010850000000000006,fair,random_scramble,0,expectation
270,1,7.315381267666817,1503.2445068359375,,,,,,,,,,,0.00011075000000000004,fair,random_scramble,0,expectation
280,1,7.300024351477623,1480.336181640625,,,,,,,,,,,0.00011300000000000001,fair,random_scramble,0,expectation
290,1,7.290025153756142,1465.607666015625,,,,,,,,,,,0.00011525000000000004,fair,random_scramble,0,expectation
300,1,7.2831362098455426,1455.5460205078125,,,,,,,,,,,0.00011750000000000004,fair,random_scramble,0,expectation
300,1,,,7.294468927383423,1472.1348827346824,7.296612633386595,1475.2940921185022,7.248412300903097,1405.870975237163,7.299455336540905,1479.4938818372486,7.247970993116796,1405.250690307608,0.00011750000000000004,fair,random_scramble,0,expectation
310,1,7.270671218633652,1437.5152587890625,,,,,,,,,,,0.00011975000000000002,fair,random_scramble,0,expectation
320,1,7.260242110490799,1422.6007080078125,,,,,,,,,,,0.00012200000000000002,fair,random_scramble,0,expectation
330,1,7.268566223978996,1434.4920654296875,,,,,,,,,,,0.00012425000000000007,fair,random_scramble,0,expectation
340,1,7.242375767230987,1397.4100341796875,,,,,,,,,,,0.00012650000000000007,fair,random_scramble,0,expectation
350,1,7.246147572994232,1402.6907958984375,,,,,,,,,,,0.00012875000000000007,fair,random_scramble,0,expectation
360,1,7.2406683444976805,1395.0260009765625,,,,,,,,,,,0.00013100000000000004,fair,random_scramble,0,expectation
370,1,7.219808050990105,1366.226806640625,,,,,,,,,,,0.00013325000000000004,fair,random_scramble,0,expectation
380,1,7.22610996067524,1374.8638916015625,,,,,,,,,,,0.00013550000000000004,fair,random_scramble,0,expectation
390,1,7.207928267121315,1350.0921630859375,,,,,,,,,,,0.00013775000000000007,fair,random_scramble,0,expectation
400,1,7.203223320841789,1343.7550048828125,,,,,,,,,,,0.00014000000000000001,fair,random_scramble,0,expectation
400,1,,,7.225967454910278,1374.6679017248548,7.2256068090800945,1374.1722228658396,7.168588451294562,1298.0111031791125,7.226537623070939,1375.4519170829587,7.17882830035693,1311.3708249889828,0.00014000000000000001,fair,random_scramble,0,expectation
410,1,7.205299916863441,1346.54833984375,,,,,,,,,,,0.00014225000000000002,fair,random_scramble,0,expectation
420,1,7.19406370818615,1331.5030517578125,,,,,,,,,,,0.00014450000000000007,fair,random_scramble,0,expectation
430,1,7.1762731820344925,1308.024658203125,,,,,,,,,,,0.0001467500000000001,fair,random_scramble,0,expectation
440,1,7.166536036133766,1295.3494873046875,,,,,,,,,,,0.00014900000000000015,fair,random_scramble,0,expectation
450,1,7.158026474714279,1284.3740234375,,,,,,,,,,,0.0001512500000000001,fair,random_scramble,0,expectation
460,1,7.162378707528115,1289.975830078125,,,,,,,,,,,0.00015350000000000015,fair,random_scramble,0,expectation
470,1,7.138514468073845,1259.555908203125,,,,,,,,,,,0.00015575000000000018,fair,random_scramble,0,expectation
480,1,7.137110877037048,1257.7890625,,,,,,,,,,,0.0001580000000000002,fair,random_scramble,0,expectation
490,1,7.15003060400486,1274.1448974609375,,,,,,,,,,,0.00016025000000000024,fair,random_scramble,0,expectation
500,1,7.124051123857498,1241.4696044921875,,,,,,,,,,,0.0001625000000000003,fair,random_scramble,0,expectation
500,1,,,7.168331098556519,1297.677099447929,7.169978599446424,1299.8167857076153,7.090191347519959,1200.1374219607053,7.175223963205533,1306.6527103510023,7.105692025889198,1218.8852931185115,0.0001625000000000003,fair,random_scramble,0,expectation
510,1,7.136911910772324,1257.5389404296875,,,,,,,,,,,0.0001647500000000003,fair,random_scramble,0,expectation
520,1,7.1127697169780735,1227.5426025390625,,,,,,,,,,,0.0001670000000000003,fair,random_scramble,0,expectation
530,1,7.119001656770706,1235.2169189453125,,,,,,,,,,,0.00016925000000000027,fair,random_scramble,0,expectation
540,1,7.1119255185127255,1226.507080078125,,,,,,,,,,,0.00017150000000000027,fair,random_scramble,0,expectation
550,1,7.106150713562966,1219.4444580078125,,,,,,,,,,,0.00017375000000000027,fair,random_scramble,0,expectation
560,1,7.101642748713493,1213.95947265625,,,,,,,,,,,0.00017600000000000027,fair,random_scramble,0,expectation
570,1,7.082943534851074,1191.4703369140625,,,,,,,,,,,0.00017825000000000024,fair,random_scramble,0,expectation
580,1,7.065133139491081,1170.437744140625,,,,,,,,,,,0.0001805000000000003,fair,random_scramble,0,expectation
590,1,7.064940920472145,1170.212890625,,,,,,,,,,,0.00018275000000000032,fair,random_scramble,0,expectation
600,1,7.065563517808914,1170.9417724609375,,,,,,,,,,,0.00018500000000000043,fair,random_scramble,0,expectation
