step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.541443049907684,13925.025390625,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble,409,expectation
20,1,8.767389976978302,6421.392578125,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble,409,expectation
30,1,8.28224940598011,3953.07666015625,,,,,,,,,,,5.675e-05,fair,random_scramble,409,expectation
40,1,7.911475017666817,2728.412353515625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble,409,expectation
50,1,7.65646870136261,2114.2783203125,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble,409,expectation
60,1,7.5563987523317335,1912.9443359375,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble,409,expectation
70,1,7.516343232989311,1837.834228515625,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble,409,expectation
80,1,7.505747371912003,1818.4637451171875,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble,409,expectation
90,1,7.483368620276451,1778.220458984375,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble,409,expectation
100,1,7.47162190079689,1757.4549560546875,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble,409,expectation
