step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.831869649887086,18617.73828125,,,,,,,,,,,5.2249999999999996e-05,fair,random_scramble
20,1,9.17035431265831,9608.0244140625,,,,,,,,,,,5.449999999999998e-05,fair,random_scramble
30,1,8.749159234762192,6305.38232421875,,,,,,,,,,,5.675e-05,fair,random_scramble
40,1,8.374489402770996,4335.0556640625,,,,,,,,,,,5.900000000000001e-05,fair,random_scramble
50,1,8.043961304426194,3114.9287109375,,,,,,,,,,,6.125000000000001e-05,fair,random_scramble
60,1,7.791439044475555,2419.79736328125,,,,,,,,,,,6.350000000000001e-05,fair,random_scramble
70,1,7.620757114887238,2040.1060791015625,,,,,,,,,,,6.575000000000001e-05,fair,random_scramble
80,1,7.541715598106384,1885.061279296875,,,,,,,,,,,6.800000000000003e-05,fair,random_scramble
90,1,7.4963785141706465,1801.50634765625,,,,,,,,,,,7.025000000000004e-05,fair,random_scramble
100,1,7.478575906157493,1769.7183837890625,,,,,,,,,,,7.250000000000001e-05,fair,random_scramble
100,1,,,7.506003761291504,1818.9301204070805,7.4949663138215055,1798.964164044809,7.449717789598601,1719.3778505881544,7.4970437501539005,1802.705282181768,7.452421195141683,1724.0323148175619,7.250000000000001e-05,fair,random_scramble
110,1,7.47569884955883,1764.6346435546875,,,,,,,,,,,7.475000000000004e-05,fair,random_scramble
120,1,7.474489378929138,1762.501220703125,,,,,,,,,,,7.700000000000001e-05,fair,random_scramble
130,1,7.453532260656357,1725.9488525390625,,,,,,,,,,,7.925000000000003e-05,fair,random_scramble
140,1,7.452059492468834,1723.408447265625,,,,,,,,,,,8.150000000000006e-05,fair,random_scramble
150,1,7.440596497058868,1703.766357421875,,,,,,,,,,,8.37500000000001e-05,fair,random_scramble
160,1,7.42393995821476,1675.622802734375,,,,,,,,,,,8.60000000000001e-05,fair,random_scramble
170,1,7.406937450170517,1647.3736572265625,,,,,,,,,,,8.825000000000011e-05,fair,random_scramble
180,1,7.398225542902947,1633.0836181640625,,,,,,,,,,,9.050000000000011e-05,fair,random_scramble
190,1,7.399042314291,1634.4180908203125,,,,,,,,,,,9.275000000000013e-05,fair,random_scramble
200,1,7.360574492812157,1572.740234375,,,,,,,,,,,9.50000000000001e-05,fair,random_scramble
200,1,,,7.404428958892822,1643.2462069711464,7.408043600556126,1649.1967011470992,7.344290412412044,1547.3366047797485,7.411705540047189,1655.2470308851196,7.345416241378853,1549.0796221364235,9.50000000000001e-05,fair,random_scramble
210,1,7.372910764813423,1592.2620849609375,,,,,,,,,,,9.725000000000009e-05,fair,random_scramble
220,1,7.35465572476387,1563.4586181640625,,,,,,,,,,,9.950000000000009e-05,fair,random_scramble
230,1,7.353174856305122,1561.144775390625,,,,,,,,,,,0.00010175000000000007,fair,random_scramble
240,1,7.341177690029144,1542.52734375,,,,,,,,,,,0.00010400000000000005,fair,random_scramble
250,1,7.324057868123054,1516.3448486328125,,,,,,,,,,,0.00010625000000000002,fair,random_scramble
260,1,7.315755495429039,1503.8072509765625,,,,,,,,,,,0.00010850000000000006,fair,random_scramble
270,1,7.310488814115525,1495.9080810546875,,,,,,,,,,,0.00011075000000000004,fair,random_scramble
280,1,7.295021450519561,1472.9486083984375,,,,,,,,,,,0.00011300000000000001,fair,random_scramble
290,1,7.284449204802513,1457.4580078125,,,,,,,,,,,0.00011525000000000004,fair,random_scramble
300,1,7.278068506717682,1448.188232421875,,,,,,,,,,,0.00011750000000000004,fair,random_scramble
300,1,,,7.297900295257568,1477.1949956672515,7.299836612794017,1480.0580852728685,7.245638045828699,1401.9761356874037,7.303087077855652,1484.8767896406564,7.244318933344728,1400.1279906881505,0.00011750000000000004,fair,random_scramble
310,1,7.265790742635727,1430.5166015625,,,,,,,,,,,0.00011975000000000002,fair,random_scramble
320,1,7.256287497282028,1416.986328125,,,,,,,,,,,0.00012200000000000002,fair,random_scramble
330,1,7.265715956687927,1430.4095458984375,,,,,,,,,,,0.00012425000000000007,fair,random_scramble
340,1,7.23878203034401,1392.3968505859375,,,,,,,,,,,0.00012650000000000007,fair,random_scramble
350,1,7.242433875799179,1397.4913330078125,,,,,,,,,,,0.00012875000000000007,fair,random_scramble
360,1,7.2385757833719255,1392.110107421875,,,,,,,,,,,0.00013100000000000004,fair,random_scramble
370,1,7.2185682445764545,1364.5340576171875,,,,,,,,,,,0.00013325000000000004,fair,random_scramble
380,1,7.224601081013679,1372.7911376953125,,,,,,,,,,,0.00013550000000000004,fair,random_scramble
390,1,7.206254944205284,1347.8350830078125,,,,,,,,,,,0.00013775000000000007,fair,random_scramble
400,1,7.2035795003175735,1344.2337646484375,,,,,,,,,,,0.00014000000000000001,fair,random_scramble
400,1,,,7.234625959396363,1386.6221481833477,7.23516163491893,1387.3651267071168,7.16994092436982,1299.7678159331192,7.235454309054407,1387.771232021529,7.179288008530285,1311.9738114638155,0.00014000000000000001,fair,random_scramble
410,1,7.2065232455730435,1348.197021484375,,,,,,,,,,,0.00014225000000000002,fair,random_scramble
