step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.81870965361595,18374.3203125,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,0,expectation
20,1,9.152702629566193,9439.916015625,,,,,,,,,,,5.449999999999998e-05,fair,temporal,0,expectation
30,1,8.701332807540894,6010.919921875,,,,,,,,,,,5.675e-05,fair,temporal,0,expectation
40,1,8.175197604298592,3551.756591796875,,,,,,,,,,,5.900000000000001e-05,fair,temporal,0,expectation
50,1,7.735054850578308,2287.134521484375,,,,,,,,,,,6.125000000000001e-05,fair,temporal,0,expectation
60,1,7.468137344717979,1751.34130859375,,,,,,,,,,,6.350000000000001e-05,fair,temporal,0,expectation
70,1,7.284762844443321,1457.9154052734375,,,,,,,,,,,6.575000000000001e-05,fair,temporal,0,expectation
80,1,7.172069343924522,1302.5374755859375,,,,,,,,,,,6.800000000000003e-05,fair,temporal,0,expectation
90,1,7.080313578248024,1188.3411865234375,,,,,,,,,,,7.025000000000004e-05,fair,temporal,0,expectation
100,1,6.982133713364601,1077.214599609375,,,,,,,,,,,7.250000000000001e-05,fair,temporal,0,expectation
100,1,,,6.860704469680786,954.0389223077798,6.844205273105128,938.4271912526273,6.911786651006188,1004.0395089348794,6.847161500422161,941.2054999831691,6.857112266319878,950.6179685440759,7.250000000000001e-05,fair,temporal,0,expectation
110,1,6.932992020249367,1025.557861328125,,,,,,,,,,,7.475000000000004e-05,fair,temporal,0,expectation
120,1,6.858731290698051,952.1582641601562,,,,,,,,,,,7.700000000000001e-05,fair,temporal,0,expectation
130,1,6.782938674092293,882.6585693359375,,,,,,,,,,,7.925000000000003e-05,fair,temporal,0,expectation
140,1,6.728734916448593,836.0889282226562,,,,,,,,,,,8.150000000000006e-05,fair,temporal,0,expectation
150,1,6.640024730563164,765.1138916015625,,,,,,,,,,,8.37500000000001e-05,fair,temporal,0,expectation
160,1,6.57754100561142,718.7695922851562,,,,,,,,,,,8.60000000000001e-05,fair,temporal,0,expectation
170,1,6.505444633960724,668.7728881835938,,,,,,,,,,,8.825000000000011e-05,fair,temporal,0,expectation
180,1,6.441016492247582,627.0439453125,,,,,,,,,,,9.050000000000011e-05,fair,temporal,0,expectation
190,1,6.401672002673149,602.8521118164062,,,,,,,,,,,9.275000000000013e-05,fair,temporal,0,expectation
200,1,6.318622270226479,554.8079833984375,,,,,,,,,,,9.50000000000001e-05,fair,temporal,0,expectation
200,1,,,6.1860521793365475,485.92397388901304,6.172670012338105,479.464574896661,6.229672910354556,507.5894290935431,6.170714897092528,478.52808217047954,6.174851540610768,480.5116821543111,9.50000000000001e-05,fair,temporal,0,expectation
210,1,6.296366348862648,542.5966186523438,,,,,,,,,,,9.725000000000009e-05,fair,temporal,0,expectation
220,1,6.230174505710602,507.8441162109375,,,,,,,,,,,9.950000000000009e-05,fair,temporal,0,expectation
230,1,6.197611585259438,491.57366943359375,,,,,,,,,,,0.00010175000000000007,fair,temporal,0,expectation
240,1,6.138248652219772,463.241455078125,,,,,,,,,,,0.00010400000000000005,fair,temporal,0,expectation
250,1,6.098641487956047,445.25244140625,,,,,,,,,,,0.00010625000000000002,fair,temporal,0,expectation
260,1,6.058205863833427,427.607666015625,,,,,,,,,,,0.00010850000000000006,fair,temporal,0,expectation
270,1,6.019278094172478,411.28155517578125,,,,,,,,,,,0.00011075000000000004,fair,temporal,0,expectation
280,1,5.966852140426636,390.27520751953125,,,,,,,,,,,0.00011300000000000001,fair,temporal,0,expectation
290,1,5.928562796115875,375.6142272949219,,,,,,,,,,,0.00011525000000000004,fair,temporal,0,expectation
300,1,5.893103256821632,362.52850341796875,,,,,,,,,,,0.00011750000000000004,fair,temporal,0,expectation
300,1,,,5.794230318069458,328.39932365800144,5.765866530764579,319.21553430629183,5.775724762175369,322.3779974482583,5.767991925568495,319.8947148519651,5.777736195196212,323.0270917835632,0.00011750000000000004,fair,temporal,0,expectation
310,1,5.851644837856293,347.8060607910156,,,,,,,,,,,0.00011975000000000002,fair,temporal,0,expectation
320,1,5.816574439406395,335.81976318359375,,,,,,,,,,,0.00012200000000000002,fair,temporal,0,expectation
330,1,5.797155117988586,329.3611755371094,,,,,,,,,,,0.00012425000000000007,fair,temporal,0,expectation
340,1,5.739769726991653,310.99285888671875,,,,,,,,,,,0.00012650000000000007,fair,temporal,0,expectation
350,1,5.720554107427597,305.0738525390625,,,,,,,,,,,0.00012875000000000007,fair,temporal,0,expectation
360,1,5.692504319548607,296.6355895996094,,,,,,,,,,,0.00013100000000000004,fair,temporal,0,expectation
370,1,5.649031701683998,284.01629638671875,,,,,,,,,,,0.00013325000000000004,fair,temporal,0,expectation
380,1,5.6370875358581545,280.64410400390625,,,,,,,,,,,0.00013550000000000004,fair,temporal,0,expectation
390,1,5.59199335873127,268.26983642578125,,,,,,,,,,,0.00013775000000000007,fair,temporal,0,expectation
400,1,5.57835963666439,264.63714599609375,,,,,,,,,,,0.00014000000000000001,fair,temporal,0,expectation
400,1,,,5.510462427139283,247.26544288561533,5.498456132742769,244.3144518666799,5.434547103156868,229.18902578082637,5.501848621778893,245.1446934624904,5.472794839692384,238.12478421394172,0.00014000000000000001,fair,temporal,0,expectation
410,1,5.553700509667396,258.19122314453125,,,,,,,,,,,0.00014225000000000002,fair,temporal,0,expectation
420,1,5.531632831692695,252.55596923828125,,,,,,,,,,,0.00014450000000000007,fair,temporal,0,expectation
430,1,5.483313027024269,240.6426544189453,,,,,,,,,,,0.0001467500000000001,fair,temporal,0,expectation
440,1,5.4538466215133665,233.65518188476562,,,,,,,,,,,0.00014900000000000015,fair,temporal,0,expectation
450,1,5.41751452088356,225.318359375,,,,,,,,,,,0.0001512500000000001,fair,temporal,0,expectation
460,1,5.396103915572167,220.5454559326172,,,,,,,,,,,0.00015350000000000015,fair,temporal,0,expectation
470,1,5.365460321307182,213.88967895507812,,,,,,,,,,,0.00015575000000000018,fair,temporal,0,expectation
480,1,5.349827563762664,210.572021484375,,,,,,,,,,,0.0001580000000000002,fair,temporal,0,expectation
490,1,5.339734506607056,208.45736694335938,,,,,,,,,,,0.00016025000000000024,fair,temporal,0,expectation
500,1,5.290821903944016,198.50653076171875,,,,,,,,,,,0.0001625000000000003,fair,temporal,0,expectation
500,1,,,5.252760601043701,191.09307271185583,5.218932728570659,184.73691438858933,5.130879085221782,169.16576382216897,5.222915349453673,185.47411850954464,5.188551447923451,179.20877158563692,0.0001625000000000003,fair,temporal,0,expectation
510,1,5.282068431377411,196.7764434814453,,,,,,,,,,,0.0001647500000000003,fair,temporal,0,expectation
520,1,5.258712837100029,192.23388671875,,,,,,,,,,,0.0001670000000000003,fair,temporal,0,expectation
530,1,5.256098148226738,191.73194885253906,,,,,,,,,,,0.00016925000000000027,fair,temporal,0,expectation
540,1,5.2206414431333545,185.05287170410156,,,,,,,,,,,0.00017150000000000027,fair,temporal,0,expectation
550,1,5.202038490772248,181.64210510253906,,,,,,,,,,,0.00017375000000000027,fair,temporal,0,expectation
560,1,5.176464194059372,177.05564880371094,,,,,,,,,,,0.00017600000000000027,fair,temporal,0,expectation
570,1,5.149298426508904,172.31051635742188,,,,,,,,,,,0.00017825000000000024,fair,temporal,0,expectation
580,1,5.125378197431564,168.2377471923828,,,,,,,,,,,0.0001805000000000003,fair,temporal,0,expectation
590,1,5.120568552613259,167.43057250976562,,,,,,,,,,,0.00018275000000000032,fair,temporal,0,expectation
600,1,5.095379143953323,163.26576232910156,,,,,,,,,,,0.00018500000000000043,fair,temporal,0,expectation
600,1,,,5.070781469345093,159.298765816735,5.063710432362789,158.17633141675103,4.949613649088352,141.12043138049074,5.070301934791179,159.22239486684828,5.021703147601973,151.66939931801917,0.00018500000000000043,fair,temporal,0,expectation
610,1,5.058278909325599,157.31954956054688,,,,,,,,,,,0.0001872500000000004,fair,temporal,0,expectation
620,1,5.05720694065094,157.1510009765625,,,,,,,,,,,0.00018950000000000043,fair,temporal,0,expectation
630,1,5.033128407597542,153.41217041015625,,,,,,,,,,,0.00019175000000000046,fair,temporal,0,expectation
640,1,5.019423311948776,151.32403564453125,,,,,,,,,,,0.00019400000000000046,fair,temporal,0,expectation
650,1,5.020962896943092,151.55714416503906,,,,,,,,,,,0.00019625000000000054,fair,temporal,0,expectation
660,1,5.011849755048752,150.1822967529297,,,,,,,,,,,0.00019850000000000054,fair,temporal,0,expectation
670,1,4.976055017113685,144.90164184570312,,,,,,,,,,,0.00020075000000000062,fair,temporal,0,expectation
680,1,4.95171103477478,141.416748046875,,,,,,,,,,,0.0002030000000000006,fair,temporal,0,expectation
690,1,4.945873945951462,140.59364318847656,,,,,,,,,,,0.00020525000000000063,fair,temporal,0,expectation
700,1,4.9259944409132,137.82632446289062,,,,,,,,,,,0.00020750000000000063,fair,temporal,0,expectation
700,1,,,4.892200136184693,133.24641204404335,4.8689558422341666,130.1849123165068,4.739821872476322,114.4138196145467,4.877642630647857,131.32072725407338,4.821236537584319,124.11847308566588,0.00020750000000000063,fair,temporal,0,expectation
710,1,4.900687009096146,134.38209533691406,,,,,,,,,,,0.0002097500000000006,fair,temporal,0,expectation
720,1,4.895377409458161,133.67047119140625,,,,,,,,,,,0.00021200000000000065,fair,temporal,0,expectation
730,1,4.855693033337593,128.46966552734375,,,,,,,,,,,0.0002142500000000007,fair,temporal,0,expectation
740,1,4.856026005744934,128.5124969482422,,,,,,,,,,,0.00021650000000000074,fair,temporal,0,expectation
750,1,4.8545260518789295,128.31985473632812,,,,,,,,,,,0.00021875000000000082,fair,temporal,0,expectation
760,1,4.825297057628632,124.62345886230469,,,,,,,,,,,0.00022100000000000076,fair,temporal,0,expectation
770,1,4.795597249269486,120.97659301757812,,,,,,,,,,,0.00022325000000000074,fair,temporal,0,expectation
780,1,4.777966183423996,118.86234283447266,,,,,,,,,,,0.00022550000000000074,fair,temporal,0,expectation
790,1,4.772748413681984,118.24378204345703,,,,,,,,,,,0.0002277500000000007,fair,temporal,0,expectation
800,1,4.766197225451469,117.47167205810547,,,,,,,,,,,0.00023000000000000068,fair,temporal,0,expectation
800,1,,,4.7558934688568115,116.26748815055066,4.734739901906758,113.83384690086315,4.604133993142152,99.89643438164893,4.744347333992207,114.93276830760365,4.702627768682946,110.23646812325445,0.00023000000000000068,fair,temporal,0,expectation
810,1,4.741367825865746,114.59083557128906,,,,,,,,,,,0.00023225000000000074,fair,temporal,0,expectation
820,1,4.736233177781105,114.00396728515625,,,,,,,,,,,0.0002345000000000007,fair,temporal,0,expectation
830,1,4.721261978149414,112.30989837646484,,,,,,,,,,,0.0002367500000000007,fair,temporal,0,expectation
840,1,4.704211977124214,110.41127014160156,,,,,,,,,,,0.0002390000000000006,fair,temporal,0,expectation
850,1,4.690925493836403,108.9539794921875,,,,,,,,,,,0.0002412500000000006,fair,temporal,0,expectation
860,1,4.657560381293297,105.37867736816406,,,,,,,,,,,0.0002435000000000006,fair,temporal,0,expectation
870,1,4.658230158686638,105.44930267333984,,,,,,,,,,,0.00024575000000000063,fair,temporal,0,expectation
880,1,4.650903922319412,104.6795425415039,,,,,,,,,,,0.0002480000000000006,fair,temporal,0,expectation
890,1,4.627511847019195,102.25932312011719,,,,,,,,,,,0.00025025000000000063,fair,temporal,0,expectation
900,1,4.62300813794136,101.79981231689453,,,,,,,,,,,0.00025250000000000045,fair,temporal,0,expectation
900,1,,,4.624028444290161,101.90371983175909,4.591382421180584,98.63068510753352,4.439667381722173,84.74674866774006,4.60093882813236,99.57775817256197,4.542089062465928,93.88673063769576,0.00025250000000000045,fair,temporal,0,expectation
910,2,4.592132947024177,98.70475006103516,,,,,,,,,,,0.0002547500000000004,fair,temporal,0,expectation
920,2,4.573281569778919,96.86146545410156,,,,,,,,,,,0.0002570000000000005,fair,temporal,0,expectation
930,2,4.581537798047066,97.66445922851562,,,,,,,,,,,0.00025925000000000053,fair,temporal,0,expectation
940,2,4.570315372943878,96.5745620727539,,,,,,,,,,,0.00026150000000000066,fair,temporal,0,expectation
950,2,4.528727242350579,92.64055633544922,,,,,,,,,,,0.00026375000000000064,fair,temporal,0,expectation
960,2,4.517821890115738,91.63578033447266,,,,,,,,,,,0.0002660000000000007,fair,temporal,0,expectation
970,2,4.520537760853768,91.88500213623047,,,,,,,,,,,0.0002682500000000007,fair,temporal,0,expectation
980,2,4.504678192734718,90.43923950195312,,,,,,,,,,,0.00027050000000000067,fair,temporal,0,expectation
990,2,4.492080089449883,89.3070297241211,,,,,,,,,,,0.00027275000000000064,fair,temporal,0,expectation
1000,2,4.490953397750855,89.20645904541016,,,,,,,,,,,0.0002750000000000006,fair,temporal,0,expectation
1000,2,,,4.5111753940582275,91.02875030695817,4.487621168732697,88.909692958705,4.327857249680108,75.78173114488709,4.497730256837092,89.81304722903637,4.438936437012699,84.68482611389481,0.0002750000000000006,fair,temporal,0,expectation
1010,2,4.475766038894653,87.86189270019531,,,,,,,,,,,0.0002772500000000007,fair,temporal,0,expectation
1020,2,4.458577370643615,86.36454010009766,,,,,,,,,,,0.0002795000000000007,fair,temporal,0,expectation
1030,2,4.444779753684998,85.18112182617188,,,,,,,,,,,0.0002817500000000007,fair,temporal,0,expectation
1040,2,4.430390524864197,83.96418762207031,,,,,,,,,,,0.0002840000000000007,fair,temporal,0,expectation
1050,2,4.409469416737556,82.22583770751953,,,,,,,,,,,0.00028625000000000064,fair,temporal,0,expectation
1060,2,4.3766927644610405,79.57442474365234,,,,,,,,,,,0.0002885000000000005,fair,temporal,0,expectation
1070,2,4.396347500383854,81.15391540527344,,,,,,,,,,,0.0002907500000000004,fair,temporal,0,expectation
1080,2,4.420217587053775,83.11436462402344,,,,,,,,,,,0.0002930000000000004,fair,temporal,0,expectation
1090,2,4.357654252648354,78.07376861572266,,,,,,,,,,,0.00029525000000000026,fair,temporal,0,expectation
1100,2,4.379126365482807,79.76832580566406,,,,,,,,,,,0.0002975000000000003,fair,temporal,0,expectation
1100,2,,,4.386358833312988,80.3473276941918,4.365497150966105,78.68851028800921,4.194052134734088,66.29086697816079,4.3806377860962655,79.88896923409864,4.308919555576145,74.36010356294706,0.0002975000000000003,fair,temporal,0,expectation
1110,2,4.358757202327252,78.15991973876953,,,,,,,,,,,0.00029975000000000027,fair,temporal,0,expectation
1120,2,4.320355257391929,75.2153549194336,,,,,,,,,,,0.00030200000000000035,fair,temporal,0,expectation
1130,2,4.3221495524048805,75.3504409790039,,,,,,,,,,,0.0003042500000000003,fair,temporal,0,expectation
1140,2,4.335227499902248,76.34232330322266,,,,,,,,,,,0.00030650000000000024,fair,temporal,0,expectation
1150,2,4.29568957388401,73.38279724121094,,,,,,,,,,,0.00030875000000000027,fair,temporal,0,expectation
1160,2,4.293247650563717,73.20382690429688,,,,,,,,,,,0.00031100000000000024,fair,temporal,0,expectation
1170,2,4.270930103957653,71.58820343017578,,,,,,,,,,,0.0003132500000000004,fair,temporal,0,expectation
1180,2,4.284023506939411,72.53166961669922,,,,,,,,,,,0.0003155000000000002,fair,temporal,0,expectation
1190,2,4.23900260925293,69.33866882324219,,,,,,,,,,,0.0003177500000000002,fair,temporal,0,expectation
1200,2,4.213097548484802,67.56550598144531,,,,,,,,,,,0.00032000000000000013,fair,temporal,0,expectation
1200,2,,,4.27528829574585,71.90086503545885,4.231006905155329,68.78645875563447,4.054423636460113,57.65192495093847,4.247149703375911,69.9058756310487,4.190329866490285,66.04457325917056,0.00032000000000000013,fair,temporal,0,expectation
1210,2,4.1966587349772455,66.46387481689453,,,,,,,,,,,0.00032225000000000016,fair,temporal,0,expectation
1220,2,4.209946542978287,67.35294342041016,,,,,,,,,,,0.00032450000000000024,fair,temporal,0,expectation
1230,2,4.205102264881134,67.0274658203125,,,,,,,,,,,0.0003267500000000003,fair,temporal,0,expectation
1240,2,4.18355654925108,65.59874725341797,,,,,,,,,,,0.00032900000000000035,fair,temporal,0,expectation
1250,2,4.168964333832264,64.64846801757812,,,,,,,,,,,0.00033125000000000027,fair,temporal,0,expectation
1260,2,4.148459179699421,63.33632278442383,,,,,,,,,,,0.0003335000000000002,fair,temporal,0,expectation
1270,2,4.141979920864105,62.927276611328125,,,,,,,,,,,0.00033575000000000017,fair,temporal,0,expectation
1280,2,4.121983666718006,61.68146896362305,,,,,,,,,,,0.0003380000000000003,fair,temporal,0,expectation
1290,2,4.096000303328037,60.09941864013672,,,,,,,,,,,0.0003402500000000002,fair,temporal,0,expectation
1300,2,4.106008353829384,60.70393371582031,,,,,,,,,,,0.0003425000000000003,fair,temporal,0,expectation
1300,2,,,4.148431420326233,63.33457701168849,4.091504992089111,59.82986745798022,3.917427960381055,50.27097940369191,4.114574684889822,61.226168309755494,4.06136971799852,58.05377394473114,0.0003425000000000003,fair,temporal,0,expectation
1310,2,4.116131913661957,61.32157897949219,,,,,,,,,,,0.0003447500000000002,fair,temporal,0,expectation
1320,2,4.080931311845779,59.2005729675293,,,,,,,,,,,0.0003470000000000002,fair,temporal,0,expectation
1330,2,4.0806884810328485,59.18620300292969,,,,,,,,,,,0.00034925000000000017,fair,temporal,0,expectation
1340,2,4.050407865643502,57.42087173461914,,,,,,,,,,,0.00035150000000000014,fair,temporal,0,expectation
1350,2,4.061336271464825,58.05181884765625,,,,,,,,,,,0.00035375000000000017,fair,temporal,0,expectation
1360,2,4.034346999228001,56.506011962890625,,,,,,,,,,,0.00035600000000000003,fair,temporal,0,expectation
1370,2,4.044636653363705,57.0904426574707,,,,,,,,,,,0.00035824999999999995,fair,temporal,0,expectation
1380,2,4.030061011016369,56.26435852050781,,,,,,,,,,,0.00036050000000000003,fair,temporal,0,expectation
1390,2,3.995429228246212,54.34916687011719,,,,,,,,,,,0.00036274999999999995,fair,temporal,0,expectation
1400,2,4.005467256903648,54.89748001098633,,,,,,,,,,,0.000365,fair,temporal,0,expectation
1400,2,,,4.070670342445373,58.59622896887903,4.041689410465482,56.922426963657976,3.8469427648721,46.84961377898426,4.0683980713628065,58.46323361022303,3.99653720914113,54.409415021826405,0.000365,fair,temporal,0,expectation
1410,2,3.9917005464434623,54.14689636230469,,,,,,,,,,,0.00036725000000000006,fair,temporal,0,expectation
1420,2,3.999788002669811,54.586578369140625,,,,,,,,,,,0.0003695,fair,temporal,0,expectation
1430,2,3.9544639006257056,52.167720794677734,,,,,,,,,,,0.00037175,fair,temporal,0,expectation
1440,2,3.968779595196247,52.91990661621094,,,,,,,,,,,0.000374,fair,temporal,0,expectation
1450,2,3.981448358297348,53.5946044921875,,,,,,,,,,,0.0003762499999999999,fair,temporal,0,expectation
1460,2,3.965177598595619,52.72962951660156,,,,,,,,,,,0.00037849999999999993,fair,temporal,0,expectation
1470,2,3.94014485925436,51.42604446411133,,,,,,,,,,,0.0003807499999999999,fair,temporal,0,expectation
1480,2,3.9343707516789435,51.129966735839844,,,,,,,,,,,0.0003829999999999999,fair,temporal,0,expectation
1490,2,3.9218077316880224,50.49163818359375,,,,,,,,,,,0.0003852499999999997,fair,temporal,0,expectation
1500,2,3.9374770149588585,51.289039611816406,,,,,,,,,,,0.0003874999999999997,fair,temporal,0,expectation
