step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode,num_thinking_tokens,thinking_token_mode
10,1,9.813840228319169,18285.06640625,,,,,,,,,,,5.2249999999999996e-05,fair,temporal,819,upper_bound
20,1,9.063486063480378,8634.1982421875,,,,,,,,,,,5.449999999999998e-05,fair,temporal,819,upper_bound
30,1,8.455270355939865,4699.77880859375,,,,,,,,,,,5.675e-05,fair,temporal,819,upper_bound
40,1,8.026816394925117,3061.97802734375,,,,,,,,,,,5.900000000000001e-05,fair,temporal,819,upper_bound
50,1,7.686580339074135,2178.910400390625,,,,,,,,,,,6.125000000000001e-05,fair,temporal,819,upper_bound
60,1,7.439145058393478,1701.295166015625,,,,,,,,,,,6.350000000000001e-05,fair,temporal,819,upper_bound
70,1,7.24904856979847,1406.7659912109375,,,,,,,,,,,6.575000000000001e-05,fair,temporal,819,upper_bound
80,1,7.119667965173721,1236.0400390625,,,,,,,,,,,6.800000000000003e-05,fair,temporal,819,upper_bound
90,1,7.017666840553284,1116.1793212890625,,,,,,,,,,,7.025000000000004e-05,fair,temporal,819,upper_bound
100,1,6.923897564411163,1016.2734375,,,,,,,,,,,7.250000000000001e-05,fair,temporal,819,upper_bound
