step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate,sigmagpt_mode,ordering_mode
10,1,9.923913633823394,20412.728515625,,,,,,,,,,,5.2249999999999996e-05,fair,temporal
20,1,9.167716324329376,9582.712890625,,,,,,,,,,,5.449999999999998e-05,fair,temporal
30,1,8.647554099559784,5696.19921875,,,,,,,,,,,5.675e-05,fair,temporal
40,1,8.051811850070953,3139.47900390625,,,,,,,,,,,5.900000000000001e-05,fair,temporal
50,1,7.648140990734101,2096.743896484375,,,,,,,,,,,6.125000000000001e-05,fair,temporal
60,1,7.362188625335693,1575.28076171875,,,,,,,,,,,6.350000000000001e-05,fair,temporal
70,1,7.176318347454071,1308.083251953125,,,,,,,,,,,6.575000000000001e-05,fair,temporal
80,1,7.042623436450958,1144.385986328125,,,,,,,,,,,6.800000000000003e-05,fair,temporal
90,1,6.956468027830124,1049.9188232421875,,,,,,,,,,,7.025000000000004e-05,fair,temporal
100,1,6.886101731657982,978.5792236328125,,,,,,,,,,,7.250000000000001e-05,fair,temporal
100,1,,,6.8952712059021,987.5935296917255,6.885857627100562,978.3403612224106,6.791138628897413,889.9262809456507,6.886069949956805,978.5481072961221,6.825577721417348,921.1083944123219,7.250000000000001e-05,fair,temporal
110,1,6.823110562562943,918.8386840820312,,,,,,,,,,,7.475000000000004e-05,fair,temporal
120,1,6.759808033704758,862.4766235351562,,,,,,,,,,,7.700000000000001e-05,fair,temporal
130,1,6.6784559935331345,795.0903930664062,,,,,,,,,,,7.925000000000003e-05,fair,temporal
140,1,6.619702038168907,749.7215576171875,,,,,,,,,,,8.150000000000006e-05,fair,temporal
150,1,6.544928532838822,695.7069702148438,,,,,,,,,,,8.37500000000001e-05,fair,temporal
160,1,6.485676336288452,655.6822509765625,,,,,,,,,,,8.60000000000001e-05,fair,temporal
170,1,6.43151490688324,621.1140747070312,,,,,,,,,,,8.825000000000011e-05,fair,temporal
180,1,6.397913071513176,600.5902709960938,,,,,,,,,,,9.050000000000011e-05,fair,temporal
190,1,6.34110309779644,567.421875,,,,,,,,,,,9.275000000000013e-05,fair,temporal
200,1,6.278610989451408,533.0478515625,,,,,,,,,,,9.50000000000001e-05,fair,temporal
200,1,,,6.316147184371948,553.436590367992,6.304798104992145,547.1911018801253,6.188948112109104,487.33321660117076,6.304641664512012,547.1055057369482,6.237621681145156,511.64021919376734,9.50000000000001e-05,fair,temporal
210,1,6.249133524298668,517.564208984375,,,,,,,,,,,9.725000000000009e-05,fair,temporal
220,1,6.205435386300087,495.4345703125,,,,,,,,,,,9.950000000000009e-05,fair,temporal
230,1,6.17146368920803,478.8864440917969,,,,,,,,,,,0.00010175000000000007,fair,temporal
240,1,6.150041419267654,468.73687744140625,,,,,,,,,,,0.00010400000000000005,fair,temporal
250,1,6.106121245026588,448.59527587890625,,,,,,,,,,,0.00010625000000000002,fair,temporal
260,1,6.05515418946743,426.3046875,,,,,,,,,,,0.00010850000000000006,fair,temporal
270,1,6.061961218714714,429.21636962890625,,,,,,,,,,,0.00011075000000000004,fair,temporal
280,1,6.027696663141251,414.7585754394531,,,,,,,,,,,0.00011300000000000001,fair,temporal
290,1,5.9892431646585464,399.11236572265625,,,,,,,,,,,0.00011525000000000004,fair,temporal
300,1,5.972066780924797,392.3157043457031,,,,,,,,,,,0.00011750000000000004,fair,temporal
300,1,,,6.007272815704345,406.3735521210765,6.0058646877570325,405.8017288599289,5.872893898284375,355.2756255710623,6.004933237638786,405.4239207736066,5.925457325770268,374.4496416795648,0.00011750000000000004,fair,temporal
310,1,5.939321681857109,379.67724609375,,,,,,,,,,,0.00011975000000000002,fair,temporal
320,1,5.927770930528641,375.3170471191406,,,,,,,,,,,0.00012200000000000002,fair,temporal
330,1,5.894518744945526,363.0421142578125,,,,,,,,,,,0.00012425000000000007,fair,temporal
340,1,5.887960433959961,360.6689147949219,,,,,,,,,,,0.00012650000000000007,fair,temporal
350,1,5.846751400828362,346.1081237792969,,,,,,,,,,,0.00012875000000000007,fair,temporal
360,1,5.841079890727997,344.1507263183594,,,,,,,,,,,0.00013100000000000004,fair,temporal
370,1,5.813157093524933,334.6740417480469,,,,,,,,,,,0.00013325000000000004,fair,temporal
380,1,5.768185359239578,319.95654296875,,,,,,,,,,,0.00013550000000000004,fair,temporal
390,1,5.766331222653389,319.3638916015625,,,,,,,,,,,0.00013775000000000007,fair,temporal
400,1,5.787901228666305,326.3274841308594,,,,,,,,,,,0.00014000000000000001,fair,temporal
400,1,,,5.795213508605957,328.7223615430881,5.7971606205149655,329.36304430610954,5.646837135797874,283.39371101038387,5.788920804096179,326.6603036211987,5.694406838213876,297.20045334039054,0.00014000000000000001,fair,temporal
410,1,5.746723702549934,313.1629333496094,,,,,,,,,,,0.00014225000000000002,fair,temporal
420,1,5.736644268035889,310.0223083496094,,,,,,,,,,,0.00014450000000000007,fair,temporal
430,1,5.70415401160717,300.1114807128906,,,,,,,,,,,0.0001467500000000001,fair,temporal
440,1,5.688992488384247,295.5956726074219,,,,,,,,,,,0.00014900000000000015,fair,temporal
