step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate
10,1,9.925506818294526,20445.265625,,,,,,,,,,,5.2249999999999996e-05
20,1,9.249506723880767,10399.4375,,,,,,,,,,,5.449999999999998e-05
30,1,8.81688700914383,6747.22705078125,,,,,,,,,,,5.675e-05
40,1,8.401093530654908,4451.93212890625,,,,,,,,,,,5.900000000000001e-05
50,1,7.927800244092941,2773.3193359375,,,,,,,,,,,6.125000000000001e-05
60,1,7.561458602547646,1922.6478271484375,,,,,,,,,,,6.350000000000001e-05
70,1,7.331316444277763,1527.3912353515625,,,,,,,,,,,6.575000000000001e-05
80,1,7.206977185606957,1348.8092041015625,,,,,,,,,,,6.800000000000003e-05
90,1,7.112393403053284,1227.0809326171875,,,,,,,,,,,7.025000000000004e-05
100,1,7.066155883669853,1171.635498046875,,,,,,,,,,,7.250000000000001e-05
100,1,,,6.921700852724437,1014.043266856396,6.913505490245701,1005.766775462346,6.979766244677287,1074.66712847132,6.914048543397692,1006.313108610472,6.900994844251274,993.2623655990319,7.250000000000001e-05
110,1,7.005522665381432,1102.706298828125,,,,,,,,,,,7.475000000000004e-05
120,1,7.001561310887337,1098.3465576171875,,,,,,,,,,,7.700000000000001e-05
130,1,6.950980338454246,1044.1727294921875,,,,,,,,,,,7.925000000000003e-05
140,1,6.928086659312248,1020.53955078125,,,,,,,,,,,8.150000000000006e-05
150,1,6.8991438239812855,991.4254150390625,,,,,,,,,,,8.37500000000001e-05
160,1,6.873801520466804,966.6163940429688,,,,,,,,,,,8.60000000000001e-05
170,1,6.843801689147949,938.04833984375,,,,,,,,,,,8.825000000000011e-05
180,1,6.80135124027729,899.0611572265625,,,,,,,,,,,9.050000000000011e-05
190,1,6.7850036293268206,884.4833374023438,,,,,,,,,,,9.275000000000013e-05
200,1,6.747717109322548,852.111083984375,,,,,,,,,,,9.50000000000001e-05
200,1,,,6.5286268499266145,684.457702764995,6.515724928831883,675.6836065504432,6.649725043822184,772.5718729196426,6.514454038331834,674.8254321122176,6.5173038383629365,676.7512925047591,9.50000000000001e-05
210,1,6.714903926849365,824.6044921875,,,,,,,,,,,9.725000000000009e-05
220,1,6.691764137148857,805.7426147460938,,,,,,,,,,,9.950000000000009e-05
230,1,6.6387939810752865,764.1727905273438,,,,,,,,,,,0.00010175000000000007
240,1,6.652460592985153,774.6881713867188,,,,,,,,,,,0.00010400000000000005
250,1,6.6190387308597565,749.2244262695312,,,,,,,,,,,0.00010625000000000002
260,1,6.572611674666405,715.2354736328125,,,,,,,,,,,0.00010850000000000006
270,1,6.536364853382111,689.7747192382812,,,,,,,,,,,0.00011075000000000004
280,1,6.535011282563209,688.841552734375,,,,,,,,,,,0.00011300000000000001
290,1,6.510899379849434,672.4310302734375,,,,,,,,,,,0.00011525000000000004
300,1,6.481651011109352,653.0481567382812,,,,,,,,,,,0.00011750000000000004
300,1,,,6.209368406769814,497.3870057939484,6.193711959525196,489.6603363064328,6.455935620418828,636.4689410990055,6.1945359406223846,490.063973439439,6.271759276416358,529.4079339778567,0.00011750000000000004
310,1,6.466993540525436,643.5458984375,,,,,,,,,,,0.00011975000000000002
320,1,6.437679168581963,624.9547729492188,,,,,,,,,,,0.00012200000000000002
330,1,6.424359223246574,616.6856079101562,,,,,,,,,,,0.00012425000000000007
340,1,6.375145876407624,587.0711059570312,,,,,,,,,,,0.00012650000000000007
350,1,6.363006404042244,579.987548828125,,,,,,,,,,,0.00012875000000000007
360,1,6.356405594944954,576.1716918945312,,,,,,,,,,,0.00013100000000000004
