step,epoch,train_loss,train_perplexity,mode1_loss,mode1_ppl,mode2_loss,mode2_ppl,mode3_loss,mode3_ppl,mode4_loss,mode4_ppl,mode5_loss,mode5_ppl,learning_rate
100,1,,,,,,,,,,,,,7.250000000000001e-05
200,1,,,,,,,,,,,,,9.50000000000001e-05
300,1,,,,,,,,,,,,,0.00011750000000000004
400,1,,,,,,,,,,,,,0.00014000000000000001
500,1,,,,,,,,,,,,,0.0001625000000000003
500,1,,,8.683229059881128,5903.077239137833,7.394993432098293,1627.814232251889,7.288548557914286,1463.445049215121,8.761511836032097,6383.755477708269,8.690421195455048,5945.68601131024,0.0001625000000000003
600,1,,,,,,,,,,,,,0.00018500000000000043
700,1,,,,,,,,,,,,,0.00020750000000000063
800,1,,,,,,,,,,,,,0.00023000000000000068
900,1,,,,,,,,,,,,,0.00025250000000000045
1000,1,,,,,,,,,,,,,0.0002750000000000006
1000,1,,,10.483865974346262,35734.28869090459,7.360322971138542,1572.3443027903022,7.286067520149406,1459.8186872119186,10.486056471636175,35812.650347603885,10.474205036182422,35390.72418742013,0.0002750000000000006
1100,1,,,,,,,,,,,,,0.0002975000000000003
1200,1,,,,,,,,,,,,,0.00032000000000000013
1300,1,,,,,,,,,,,,,0.0003425000000000003
1400,1,,,,,,,,,,,,,0.000365
1500,1,,,,,,,,,,,,,0.0003874999999999997
1500,1,,,7.916975381907099,2743.460563590478,7.387029309268009,1614.9016068795706,7.253265351504342,1412.7103206400632,7.932563453380846,2786.560875578454,7.919691717720171,2750.9228542263972,0.0003874999999999997
1600,2,,,,,,,,,,,,,0.00040999999999999896
1700,2,,,,,,,,,,,,,0.0004324999999999985
1800,2,,,,,,,,,,,,,0.0004549999999999977
1900,2,,,,,,,,,,,,,0.00047749999999999724
2000,2,,,,,,,,,,,,,0.0005
2000,2,,,7.762362307926078,2350.4505400345624,7.365658025115774,1580.7552610246291,7.248968065378963,1406.652525541682,7.7530228382157995,2328.600769865289,7.766124479731333,2359.309993729702,0.0005
2100,2,,,,,,,,,,,,,0.0004996711527725106
2200,2,,,,,,,,,,,,,0.0004986855723389297
2300,2,,,,,,,,,,,,,0.0004970461396360837
2400,2,,,,,,,,,,,,,0.0004947576468675192
2500,2,,,,,,,,,,,,,0.0004918267834954759
2500,2,,,7.7456607871599665,2311.5204423761866,7.382798752607382,1608.0841052119529,7.223109242363998,1370.744418426805,7.771298433663158,2371.548588609152,7.74897002132983,2319.182475547164,0.0004918267834954759
2600,2,,,,,,,,,,,,,0.00048826211668701253
2700,2,,,,,,,,,,,,,0.00048407406627143753
2800,2,,,,,,,,,,,,,0.00047927487428223864
2900,2,,,,,,,,,,,,,0.00047387856917257025
3000,2,,,,,,,,,,,,,0.00046790092480886815
3000,2,,,7.910385138674151,2725.4399365556687,7.374943274879137,1595.5013229266672,7.2148116393823845,1359.417583232024,7.903147674017711,2705.7858699392327,7.912491501363303,2731.1867518634554,0.00046790092480886815
3100,2,,,,,,,,,,,,,0.0004613594143624733
3200,3,,,,,,,,,,,,,0.00045427315923404207
3300,3,,,,,,,,,,,,,0.00044666287316003924
3400,3,,,,,,,,,,,,,0.0004385508016646938
3500,3,,,,,,,,,,,,,0.0004299606570344101
3500,3,,,7.65654352893643,2114.436295354159,7.330265057159273,1525.7861389376571,7.203180891365958,1343.6981315657474,7.646291069371623,2092.8688712231824,7.655955848669601,2113.194047925815,0.0004299606570344101
3600,3,,,,,,,,,,,,,0.0004209175490047019
3700,3,,,,,,,,,,,,,0.0004114479113622668
3800,3,,,,,,,,,,,,,0.00040157942467674066
3900,3,,,,,,,,,,,,,0.0003913409353879988
4000,3,,,,,,,,,,,,,0.000380762371485519
4000,3,,,7.682694694544344,2170.4606270632103,7.32966233716526,1524.8667942066884,7.219043430065805,1365.1825433446065,7.677170503317259,2158.5036442455244,7.674781809568167,2153.3537932402664,0.000380762371485519
4100,3,,,,,,,,,,,,,0.00036987465502628014
4200,3,,,,,,,,,,,,,0.0003587096117469164
4300,3,,,,,,,,,,,,,0.00034729987803433526
4400,3,,,,,,,,,,,,,0.0003356788055267391
4500,3,,,,,,,,,,,,,0.00032388036362390163
4500,3,,,7.638098865552456,2075.7937000007064,7.296158476468592,1474.6242292234247,7.183162524719806,1317.0669355610007,7.630096212984805,2059.248136716171,7.640927919523137,2081.674547104632,0.00032388036362390163
4600,3,,,,,,,,,,,,,0.0003119390401916749
4700,4,,,,,,,,,,,,,0.00029988974075097723
4800,4,,,,,,,,,,,,,0.0002877676864459349
4900,4,,,,,,,,,,,,,0.00027560831108943416
5000,4,,,,,,,,,,,,,0.00026344715758702
5000,4,,,7.733511218783611,2283.60638197101,7.305236457484191,1488.0717859631752,7.178270879025142,1310.6400426130147,7.725159696220685,2264.614208916629,7.735051800588895,2287.1271757525733,0.00026344715758702
5100,4,,,,,,,,,,,,,0.0002513197740419134
5200,4,,,,,,,,,,,,,0.00023926160984482893
5300,4,,,,,,,,,,,,,0.0002273079120523423
5400,4,,,,,,,,,,,,,0.00021549362235669684
5500,4,,,,,,,,,,,,,0.00020385327494821363
5500,4,,,7.621250821023237,2041.1136015749341,7.3230255238719995,1514.7800469500487,7.145239020237085,1268.0543796502445,7.609156291873927,2016.5759782320854,7.625250709628242,2049.2941784025866,0.00020385327494821363
5600,4,,,,,,,,,,,,,0.00019242089556886828
5700,4,,,,,,,,,,,,,0.0001812299020521048
5800,4,,,,,,,,,,,,,0.00017031300663961963
5900,4,,,,,,,,,,,,,0.00015970212036064987
6000,4,,,,,,,,,,,,,0.0001494282597532753
6000,4,,,7.644543854194676,2089.2153716224366,7.277892815229215,1447.933744342451,7.218619219722924,1364.6035416077439,7.633736373153878,2066.7577896390244,7.644141501472935,2088.37493921783,0.0001494282597532753
6100,4,,,,,,,,,,,,,0.00013952145620039596
6200,4,,,,,,,,,,,,,0.00013001066814540455
6300,5,,,,,,,,,,,,,0.0001209236964441505
6400,5,,,,,,,,,,,,,0.00011228710310063583
6500,5,,,,,,,,,,,,,0.00010412613362397933
6500,5,,,7.625640932052187,2050.0940149911967,7.334469733208838,1532.2150817120626,7.179806705337626,1312.654504612557,7.633161419294249,2065.56984081156,7.622193232331555,2043.0380767957924,0.00010412613362397933
6600,5,,,,,,,,,,,,,9.646464323361266e-05
6700,5,,,,,,,,,,,,,8.932502712840953e-05
6800,5,,,,,,,,,,,,,8.272815502358339e-05
6900,5,,,,,,,,,,,,,7.669331014670539e-05
7000,5,,,,,,,,,,,,,7.123813287116283e-05
7000,5,,,7.656726377288361,2114.822951894707,7.297542391689583,1476.6663969070264,7.152727557594823,1277.5858962605287,7.637859232113757,2075.296330013967,7.653066661499912,2107.0974461482,7.123813287116283e-05
7100,5,,,,,,,,,,,,,6.637856915182237e-05
7200,5,,,,,,,,,,,,,6.212882391362554e-05
7300,5,,,,,,,,,,,,,5.8501319529364164e-05
7400,5,,,,,,,,,,,,,5.550665950801132e-05
7500,5,,,,,,,,,,,,,5.315359749974734e-05
