====================================================================================================
PIPELINE DIFFERENCES ANALYSIS REPORT
====================================================================================================

## FINAL PERFORMANCE COMPARISON (Step 2500)

| Mode | Legacy PPL | New PPL | Ratio (Legacy/New) | Change |
|------|-----------|---------|-------------------|--------|
| MODE1 | nan | nan | nanx | 🟡 Similar |
| MODE2 | nan | nan | nanx | 🟡 Similar |
| MODE3 | nan | nan | nanx | 🟡 Similar |
| MODE4 | nan | nan | nanx | 🟡 Similar |
| MODE5 | nan | nan | nanx | 🟡 Similar |

## TRAINING LOSS

- Legacy final training loss: 3.5056
- New final training loss: 2.2518
- Difference: 1.2538
- ⚠️  New pipeline has lower training loss (potential overfitting?)

## MODE 2 DIVERGENCE ANALYSIS

- **Divergence Point**: Step 1500
- Mode 2 perplexities started diverging significantly (>2x ratio) at step 1500

## MODE 2 PROGRESSION

| Step | Legacy PPL | New PPL | Ratio | Status |
|------|-----------|---------|-------|--------|
| 10 | nan | nan | nanx | ⚪ Similar |
| 20 | nan | nan | nanx | ⚪ Similar |
| 30 | nan | nan | nanx | ⚪ Similar |
| 40 | nan | nan | nanx | ⚪ Similar |
| 50 | nan | nan | nanx | ⚪ Similar |
| 60 | nan | nan | nanx | ⚪ Similar |
| 70 | nan | nan | nanx | ⚪ Similar |
| 80 | nan | nan | nanx | ⚪ Similar |
| 90 | nan | nan | nanx | ⚪ Similar |
| 100 | nan | nan | nanx | ⚪ Similar |
| 110 | nan | nan | nanx | ⚪ Similar |
| 120 | nan | nan | nanx | ⚪ Similar |
| 130 | nan | nan | nanx | ⚪ Similar |
| 140 | nan | nan | nanx | ⚪ Similar |
| 150 | nan | nan | nanx | ⚪ Similar |
| 160 | nan | nan | nanx | ⚪ Similar |
| 170 | nan | nan | nanx | ⚪ Similar |
| 180 | nan | nan | nanx | ⚪ Similar |
| 190 | nan | nan | nanx | ⚪ Similar |
| 200 | nan | nan | nanx | ⚪ Similar |
| 210 | nan | nan | nanx | ⚪ Similar |
| 220 | nan | nan | nanx | ⚪ Similar |
| 230 | nan | nan | nanx | ⚪ Similar |
| 240 | nan | nan | nanx | ⚪ Similar |
| 250 | nan | nan | nanx | ⚪ Similar |
| 260 | nan | nan | nanx | ⚪ Similar |
| 270 | nan | nan | nanx | ⚪ Similar |
| 280 | nan | nan | nanx | ⚪ Similar |
| 290 | nan | nan | nanx | ⚪ Similar |
| 300 | nan | nan | nanx | ⚪ Similar |
| 310 | nan | nan | nanx | ⚪ Similar |
| 320 | nan | nan | nanx | ⚪ Similar |
| 330 | nan | nan | nanx | ⚪ Similar |
| 340 | nan | nan | nanx | ⚪ Similar |
| 350 | nan | nan | nanx | ⚪ Similar |
| 360 | nan | nan | nanx | ⚪ Similar |
| 370 | nan | nan | nanx | ⚪ Similar |
| 380 | nan | nan | nanx | ⚪ Similar |
| 390 | nan | nan | nanx | ⚪ Similar |
